3
# id	name	image	equipment	halloween drops
92	Violent Vestments	shubtat.gif	Lens of Violence, Pigsticker of Violence, Brand of Violence, Jodhpurs of Violence, Ass-Stompers of Violence, Novelty Belt Buckle of Violence	violent pastilles
93	Hateful Habiliment	yogtat.gif	Lens of Hatred, Staff of Simmering Hatred, Cold Stone of Hatred, Pantaloons of Hatred, Fuzzy Slippers of Hatred, Girdle of Hatred	worst candy
94	Clothing of Loathing	loathetat.gif	Goggles of Loathing, Stick-Knife of Loathing, Scepter of Loathing, Jeans of Loathing, Treads of Loathing, Belt of Loathing, Pocket Square of Loathing	fudge-shaped hole in space-time
95	Dreadful Pajamas	dvotat1.gif	dreadful fedora, dreadful glove, dreadful sweater	Tallowcreme Halloween Pumpkin
96	Dreadful Bugbear Suit	dvotat2.gif	Covers-Your-Head, Drapes-You-Regally, Warms-Your-Tush	Bugbearclaw Donut
97	Dreadful Werewolf Suit	dvotat3.gif	Great Wolf's headband, Great Wolf's right paw, Great Wolf's left paw	little red jam
98	Dreadful Zombie Suit	dvotat4.gif	zombie mariachi hat, zombie accordion, zombie mariachi pants	Whenchamacallit bar
99	Dreadful Ghost Suit	dvotat5.gif	Mayor Ghost's toupee, Mayor Ghost's cloak, Mayor Ghost's khakis	8-bit banana
100	Dreadful Vampire Suit	dvotat7.gif	Thunkula's drinking cap, Drunkula's cape, Drunkula's silky pants	vial of blood simple syrup
101	Dreadful Skeleton Suit	dvotat6.gif	Unkillable Skeleton's skullcap, Unkillable Skeleton's breastplate, Unkillable Skeleton's shinguards	bone bons
102	Cool Irons	dvotat8.gif	cool iron helmet, cool iron breastplate, cool iron greaves	ironic mint
103	Warbear Dress Armor	bearclawta.gif	warbear dress helmet, warbear dress greaves, warbear dress bracers	warbear whosit
104	Workoutfit	workouttat.gif	sweatband, gym shorts, ankleweights	pint of sweat
105	Ghast Iron Gear	hotghosttat.gif	ghast iron Garibaldi, ghast iron heater shield, ghast iron codpiece	Hot 'n' Scarys
106	Brogre Brouture	brogretat.gif	Brogre bucket hat, Brogre brolo shirt, Brogre brorts	Yolo&trade; chocolates
107	Space Beast Furs	sbeasttat.gif	space beast fur hat, space beast fur whip, space beast fur pants	candy UFOs
108	Gladiatorial Glad Rags	spqktat.gif	centurion helmet, madius, radiator heater shield, gladiator tunica, pteruges, Roman sadnals	Bit O' Quail Spleen
109	Xiblaxian Stealth Suit	xiblaxtat.gif	Xiblaxian stealth cowl, Xiblaxian stealth vest, Xiblaxian stealth trousers	Take Eleven Bar
110	High-Radiation Mining Gear	radminetat.gif	radiation-resistant helmet, high-energy mining laser, servo-assisted exo-pants	Glo-Pop
111	Crimbot Crimboutfit	zaptat.gif	toy Crimbot mega face, toy Crimbot power glove, toy Crimbot super fist, toy Crimbot rocket legs	sugar sphere
112	Topiaria	topitat.gif	tope&eacute;, topiary tights, topiary necktie	Shrubble Bubble
113	Synthetic Suit	polytat.gif	polyester panama hat, polyester peeler, polyester pad, polyester parachute, polyester pettipants, polyester pulsera	polyeaster egg
114	Ceramic Suit	porctat.gif	porcelain porkpie, porcelain police baton, porcelain pepper mill, porcelain pelerine, porcelain plus-fours, porcelain phantom mask	porcelain candy dish
115	Spelunker's Gear	spelunktat.gif	Spelunker's fedora, Spelunker's whip, Spelunker's khakis	Spechunky bar
116	Wicker Wear	wickertat.gif	wicker sticker, wicker clicker, wicker slicker, wicker knickers, wicker ticker, wicker kickers	Wickers bar
117	Bakelite Brigandine	baketat.gif	bakelite bowl, bakelite backpack, bakelite breeches, bakelite belt, bakelite badge, bakelite brooch	bakelite-covered bacon
118	Aeroutfit	aerotat.gif	aerogel akubra, aerogel accordion, aerogel attache case, aerogel anvil, aerogel apron, aerogel ascot	Aerheads
119	Wrought Wrappings	wroughttat.gif	wrought-iron wig, wrought-iron whisk, wrought-iron waders, wrought-iron winch crank, wrought-iron widget, wrought-iron walker	Wrotz
120	Gabardine Guise	gabtat.gif	gabardine garibaldi, gabardine gunnysack, gabardine gaiters, gabardine garland, gabardine girdle, gabardine gloves	Gabarbar
121	Fiberglass Finery	fibertat.gif	fiberglass fedora, fiberglass foil, fiberglass fetish, fiberglass frock, fiberglass fannypack, fiberglass fingerguard	fiberglass insulation
122	Toxic Togs	toxictat.gif	isotophat, toxic mop, Three Mile Island shorts	nasty gum
123	Dinsey's Exoskeleton	wdbraintat.gif	Dinsey's oculus, Dinsey's radar dish, Dinsey's pizza cutter, Dinsey's brain, Dinsey's glove, Dinsey's pants	sludgesicle
124	The Emperor's New Clothes	emperortat.gif	The Emperor's new hat, The Emperor's new shirt, The Emperor's new pants	The Emperor's new cookie
125	SMOOCH Army Uniform	smoochtat.gif	SMOOCH breastplate, SMOOCH codpiece, SMOOCH bracers, SMOOCH kneepads, SMOOCH spaulders	Hersey&trade; SMOOCH
126	Cooper's Couture	barreltat.gif	barrelhead, chest barrel, bottoms of the barrel	root beer barrel
127	The Jokester's Costume	jokestertat.gif	The Jokester's wig, The Jokester's gun, The Jokester's pants	exploding gum
# Treat: eldritch essence OR eldritch effluvium
128	Eldritch Equipage	elditchtat.gif	eldritch hat, eldritch pants
129	Gingerbread Best	gingertat.gif	candy dress shoes, candy necktie, chocolate pocketwatch, gingerbread waistcoat, gingerbread trousers, gingerbread tophat	gingerbread bugbear
130	Spant Armor	spantat.gif	spant spear, spant backplate, spant shield, spant shoulderpads, spants	Spant eggs
# Meteor Masquerade can use meteorite guard in place of meteorb, but there's no good way to support that, and
# KoL equips meteorb when equipping the outfit
131	Meteor Masquerade	meteortat.gif	meteortarboard, shooting morning star, meteorb, meteorthopedic shoes, asteroid belt	cocoa chondrule
132	Cheerful Reindeer Suit	reintat.gif	cheerful antler hat, cheerful Crimbo sweater, cheerful pajama pants	sweetened reindeer fat
133	Miming Paraphernalia	mimetat.gif	miming beret, miming shirt, miming corduroys, miming gloves, miming boots	Good 'n' Quiet
134	Pyrotechnic Paper Paraphernalia	fpmtat.gif	burning paper hat, burning cape, burning paper slippers, burning paper jorts, burning paper crane	hot button candy
135	Genie Garments	genietat.gif	genie's turbane, genie's scimitar, genie's pants, genie's bracers	rainbow jellybean
136	Psychic Enpsemble	psychictat.gif	psychic's amulet, psychic's circlet, psychic's crystal ball, psychic's pslacks	mystery lollipop
137	FantasyRealm Warrior's Outfit	frtat1.gif	FantasyRealm Warrior's Helm, Dragonscale breastplate, belt of Ogrekind, The Ghoul King's ghoulottes	chocolate Ogre Chieftain
138	FantasyRealm Wizard's Outfit	frtat2.gif	FantasyRealm Mage's Hat, nozzle of the Phoenix, the Archwizard's briefs, the Ley Incursion's waist	chocolate "Phoenix"
139	FantasyRealm Thief's Outfit	frtat3.gif	FantasyRealm Rogue's Mask, Duke Vampire's regal cloak, leggings of the Spider Queen, Master Thief's utility belt	chocolate Spider Queen
140	Snakeskin Suit	vwsnaketat.gif	snakeskin cowboy hat, snakeskin jacket, snakeskin thighboots	licorice snake
141	Slime Enslamble	vwslimetat.gif	slime fedora, slime knuckles, slime waders	virgin jello shot
142	Mutant Parts Apparel	vwmuttat.gif	mutant arm, mutant legs, mutant crown	mutated candy lump
143	Government-Issued Garb	vwgovttat.gif	government-issued slacks, government-issued eyeshade, government-issued necktie	government-issued candy
144	Bauxite Baubles	bauxtat.gif	bauxite beret, bauxite boxers, bauxite bow-tie	Pneumo bar
145	Chalk Chostume	chalktat.gif	chalk chapeau, chalk chalice, chalk chlamys, chalk chinos, chalk chain, chalk choker	candy chalk
146	Marble Materials	marbletat.gif	marble mariachi hat, marble mignonette bowl, marble mantle, marble maebari, marble magnet, marble medallion	Mallomarbles
147	Paraffinalia	para_tat.gif	paraffin pith helmet, paraffin pseudoaccordion, paraffin poncho, paraffin palazzos, paraffin punching bag, paraffin pendant	Para-Pop
148	Terra Cotta Tackle	tc_tat.gif	terra cotta tongs, terra cotta tambourine, terra cotta train, terra cotta trousers, terra cotta tie tack, terra cotta truss	terra panna cotta
149	Velour Vestments	velourtat.gif	velour voulge, velour valise, velour vaqueros, velour vambraces, velour veil, velour viscometer	Velougats&trade;
150	Stained Glass Suit	stainedtat.gif	stained glass stetson, stained glass shiv, stained glass shield, stained glass serape, stained glass suspenders, stained glass spectacles	stained hard candy
151	Loofah Loungewear	loofahtat.gif	loofah lumberjack's hat, loofah ladle, loofah lederhosen, loofah lavalier, loofah lei, loofah legwarmers
152	Flagstone Finery	flagstonetat.gif	flagstone fez, flagstone flail, flagstone flag, flagstone fleece, flagstone flip-flops, flagstone fringe
153	PirateRealm Assortment	prealmtat.gif	PirateRealm party hat, piratical blunderbuss, conquistador's breastplate, plush sea serpent, pirate radio ring	one piece of bubble gum
154	Shallow Sea Fishing Outfit	fishingtat.gif	spearfish fishing spear, waders, lucky rabbitfish fin	Finnish Fish
155	Cursed Skeleton Pirate Costume	skelepiratetat.gif	cursed tricorn hat, cursed pirate cutlass, cursed swash buckle	cursed chocolate doubloon
156	Whittled Wearables	whittletat.gif	whittled tiara, whittled shorts	leftover chocolate bar
157	Antique Nutcracker Outfit	nutctat.gif	antique nutcracker hat, antique nutcracker sword, antique nutcracker drumstick, antique nutcracker cape, antique nutcracker waistcoat, antique nutcracker pants, antique nutcracker beard, antique nutcracker epaulets, antique nutcracker boots	candied almond
158	Mushroom Masquerade	mushtat.gif	mushroom cap, mushroom shield, mushroom pants, mushroom badge	marshroom
# Treats: Random booze from specific subset
159	Guzzlr Uniform	guzzlrtat.gif	Guzzlr hat, Guzzlr shoes, Guzzlr pants
160	Lathed Livery	lathetat.gif	hemlock helm, balsam barrel, purpleheart &quot;pants&quot;, wormwood wedding ring	fistful of wood shavings
