1
# Name of familiar, as in familiars.txt
# L2, L3, and L4 specify Power/HP values at that level
# M1 is move #1, usable only at front
#    Bite               [power] damage to a random enemy
#    Bonk               [power] damage to frontmost enemy
#    Claw               [power] damage to frontmost enemy and 1 to a random enemy
#    Peck               [power] damage to frontmost enemy
#    Punch              [power] damage to frontmost enemy and reduce its power by 1
#    Sting              [power] damage to frontmost enemy and poison it
# M2 is move #2
#    Armor Up           Become Armored
#    Backstab           1 damage to rearmost enemy and poison it
#    Breathe Fire       1 damage to all enemies
#    Chill Out          random enemy becomes tired
#    Embarrass          random enemy loses 1 power
#    Encourage          frontmost ally power increases by 1
#    Frighten           frontmost enemy loses 1 power
#    Growl              2 random enemies lose 1 power
#    Howl               1 damage to all enemies
#    Hug                heal frontmost ally by [power]
#    Laser Beam         2 damage to random enemy
#    Lick               heal all allies by 1
#    Regrow             heal self by power
#    Retreat            move to the back
#    Splash             1 damage to 2 random enemies
#    Stinkblast         1 damage to random enemy and poison it
#    Swoop              avoid all attack damage this turn
#    Tackle             knock frontmost enemy to back
# M3 is the ULTIMATE move #3, usable only at back
#    Bear Hug           heal self for 3, teammates for 2
#    Blood Bath         deal 12 damage randomly spread among all foes
#    Defense Matrix     gives all allies Armored
#    Deluxe Impale      deal 5 damage to frontmost enemy
#    Empowering Cheer   give all allies +1 power
#    Healing Rain       gives all allies Regenerating
#    Nasty Cloud        poisons all enemies
#    Nuclear Bomb       deal 5 damage to rearmost enemy
#    Owl Stare          heal all allies by 1 and increase power by 1
#    Pepperscorn        give all allies Spiked
#    Rainbow Storm      give all allies regeneration and armor
#    Spiky Burst        deal 8 damage randomly spread among all foes
#    Stick Treats       heal all allies by 1 and tire front enemy
#    Universal Backrub	heal all allies by 2
#    Violent Shred      deal 2 damage to all enemies
#    Vulgar Display     reduce all enemy power by 1
# AT is the special attribute
#    None
#    Smart              2 XP per battle
#    Armor              1 less damage from (move 1) attacks (minimum 1)
#    Spiked             deals 1 damage back when (move 1) attacked
#    Regenerating       heals 1 HP per round

# Type	L2	L3	L4	M1	M2	M3	AT

Black Cat	2/2	2/3	2/4	Claw	Howl	Violent Shred	None
Blavious Kloop	2/2	3/2	3/3	Punch	Hug	Empowering Cheer	None
Blood-Faced Volleyball	1/3	1/4	2/4	Bonk	Frighten	Deluxe Impale	None
Bloovian Groose	2/2	3/2	3/3	Bonk	Growl	Violent Shred	None
Bluzzard	2/2	3/2	3/3	Peck	Lick	Violent Shred	None
Bowlet	2/2	2/3	2/4	Claw	Armor Up	Violent Shred	Armor
BRICKO chick	2/2	2/3	3/3	Peck	Armor Up	Defense Matrix	Armor
Bulky Buddy Box	x/x	x/x	2/4	Bonk	Tackle	Universal Backrub	Smart
Cantelope	1/3	1/4	2/4	Bonk	Regrow	Violent Shred	Regenerating
Caramel	1/3	2/3	3/3	Bite	Growl	Stick Treats	None
Carpricorn	1/3	2/3	3/3	Bonk	Splash	Healing Rain	None
Casagnova Gnome	1/3	2/3	2/4	Punch	Hug	Vulgar Display	None
Cat Burglar	2/2	2/3	2/4	Claw	Lick	Violent Shred	None
Chauvinist Pig	1/3	2/3	2/4	Bonk	Lick	Violent Shred	None
Ched	2/2	2/3	2/4	Bonk	Retreat	Universal Backrub	None
Cheshire Bat	1/3	1/4	2/4	Claw	Frighten	Empowering Cheer	None
Chocolate Lab	2/2	3/2	3/3	Claw	Growl	Universal Backrub	None
Choctopus	2/2	2/3	2/4	Bonk	Encourage	Empowering Cheer	None
Clockwork Grapefruit	1/3	2/3	3/3	Bonk	Regrow	Nasty Cloud	Smart
Cocoabo	1/3	2/3	3/3	Peck	Howl	Violent Shred	None
Coffee Pixie	1/3	2/3	2/4	Punch	Hug	Universal Backrub	None
Comma Chameleon	2/2	2/3	2/4	Punch	Howl	Empowering Cheer	None
Cornbeefadon	2/2	3/2	3/3	Bite	Growl	Pepperscorn	None
Cotton Candy Carnie	1/3	1/4	2/4	Bonk	Regrow	Nasty Cloud	Regenerating
Crimbo Elf	2/2	2/3	2/4	Punch	Hug	Universal Backrub	None
Crimbo P. R. E. S. S. I. E.	1/3	1/4	1/5	Punch	Laser Beam	Deluxe Impale	Smart
Crimbo Shrub	1/3	1/4	1/5	Bonk	Hug	Universal Backrub	Regenerating
Cuddlefish	2/2	2/3	3/3	Bonk	Splash	Violent Shred	None
Cute Meteor	1/3	1/4	1/5	Bonk	Swoop	Deluxe Impale	Armor
Cycloney	2/2	2/3	2/4	Bonk	Swoop	Deluxe Impale	None
Cymbal-Playing Monkey	1/3	2/3	2/4	Punch	Lick	Nuclear Bomb	Smart
Dancing Frog	x/x	x/x	3/3	Punch	Splash	Violent Shred	None
Dandy Lion	x/x	x/x	2/4	Claw	Lick	Vulgar Display	None
Dataspider	2/2	2/3	2/4	Bonk	Growl	Violent Shred	Smart
Disembodied Hand	1/3	1/4	2/4	Punch	Frighten	Deluxe Impale	None
Disgeist	2/2	2/3	2/4	Claw	Frighten	Universal Backrub	None
Doppelshifter	1/3	x/x	x/x	Bonk	Retreat	Unknown	None
Dramatic Hedgehog	1/3	2/3	2/4	Sting	Growl	Spiky Burst	Spiked
Dressage	2/2	2/3	2/4	Bonk	Howl	Violent Shred	None
Egg Benedict	x/x	x/x	x/x	Unknown	Unknown	Unknown	Unknown
El Vibrato Megadrone	1/3	1/4	2/4	Bonk	Laser Beam	Defense Matrix	Smart
Emo Squid	1/3	1/4	2/4	Bonk	Splash	Healing Rain	None
Evil Teddy Bear	1/3	2/3	2/4	Claw	Backstab	Empowering Cheer	None
Exotic Parrot	1/3	2/3	3/3	Peck	Lick	Universal Backrub	None
Fancypants Scarecrow	1/3	1/4	2/4	Bonk	Hug	Deluxe Impale	None
Faux	2/2	2/3	2/4	Bite	Lick	Violent Shred	None
Feather Boa Constrictor	1/3	1/4	2/4	Bonk	Lick	Vulgar Display	None
Feral Kobold	1/3	2/3	2/4	Claw	Backstab	Deluxe Impale	None
Fist Turkey	2/2	3/2	3/3	Peck	Howl	Violent Shred	None
Flaming Face	1/3	1/4	2/4	Bite	Breathe Fire	Deluxe Impale	None
Flaming Gravy Fairy	1/3	2/3	2/4	Bonk	Breathe Fire	Universal Backrub	Regenerating
Flan	2/2	2/3	2/4	Bonk	Encourage	Empowering Cheer	None
Floating Eye	1/3	1/4	2/4	Bonk	Frighten	Deluxe Impale	None
Frozen Gravy Fairy	2/2	2/3	2/4	Bonk	Hug	Nasty Cloud	Regenerating
Frumious Bandersnatch	2/2	2/3	3/3	Bonk	Howl	Violent Shred	None
Fuzzy Dice	1/3	1/4	2/4	Bonk	Armor Up	Defense Matrix	None
Galloping Grill	1/3	1/4	1/5	Bonk	Tackle	Empowering Cheer	Armor
Garbage Fire	1/3	1/4	2/4	Bonk	Tackle	Deluxe Impale	Armor
Gazelleton	2/2	3/2	3/3	Bite	Howl	Violent Shred	None
Gelatinous Cubeling	1/3	2/3	2/4	Bonk	Retreat	Defense Matrix	None
Ghosprey	1/3	2/3	2/4	Peck	Swoop	Violent Shred	None
Ghost Pickle on a Stick	1/3	2/3	2/4	Bonk	Embarrass	Nasty Cloud	Regenerating
Ghuol Whelp	1/3	2/3	2/4	Claw	Hug	Universal Backrub	None
Glamare	1/3	2/3	3/3	Bonk	Lick	Violent Shred	None
Globmule	1/3	2/3	2/4	Bonk	Embarrass	Vulgar Display	None
Gluttonous Green Ghost	1/3	2/3	2/4	Punch	Frighten	Vulgar Display	None
God Lobster	2/2	2/3	3/3	Claw	Frighten	Violent Shred	Armor
Golden Monkey	1/3	1/4	2/4	Punch	Tackle	Violent Shred	Armor
Gorillape	1/3	1/4	2/4	Punch	Growl	Violent Shred	None
Green Pixie	1/3	1/4	1/5	Punch	Hug	Empowering Cheer	None
Grim Brother	2/2	2/3	2/4	Punch	Hug	Empowering Cheer	None
Grimstone Golem	1/3	2/3	2/4	Bonk	Hug	Deluxe Impale	Armor
Grinning Turtle	1/3	2/3	2/4	Bite	Splash	Violent Shred	Armor
Grouper Groupie	1/3	2/3	3/3	Bonk	Embarrass	Vulgar Display	None
Grue	2/2	2/3	2/4	Bite	Howl	Violent Shred	None
Hand Turkey	1/3	1/4	2/4	Peck	Lick	Violent Shred	None
Hanukkimbo Dreidl	1/3	2/3	2/4	Bonk	Hug	Universal Backrub	None
Happy Medium	2/2	2/3	2/4	Punch	Frighten	Deluxe Impale	None
He-Boulder	x/x	x/x	x/x	Unknown	Unknown	Unknown	Unknown
Helix Fossil	1/3	1/4	1/5	Bonk	Armor Up	Universal Backrub	Armor
Hippo Ballerina	1/3	2/3	2/4	Bonk	Hug	Violent Shred	None
Hobo Monkey	1/3	1/4	2/4	Punch	Growl	Violent Shred	None
Holiday Log	2/2	2/3	2/4	Bonk	Hug	Nasty Cloud	Regenerating
Homemade Robot	x/x	x/x	x/x	Unknown	Unknown	Unknown	Unknown
Hovering Skull	1/3	2/3	2/4	Bite	Tackle	Deluxe Impale	Armor
Hovering Sombrero	2/2	2/3	2/4	Bonk	Armor Up	Deluxe Impale	None
Howling Balloon Monkey	1/3	2/3	3/3	Bonk	Howl	Violent Shred	None
Hunchbacked Minion	2/2	2/3	2/4	Punch	Frighten	Deluxe Impale	None
Imitation Crab	2/2	3/2	3/3	Claw	Splash	Healing Rain	None
Inflatable Dodecapede	1/3	2/3	2/4	Bonk	Splash	Healing Rain	None
Intergnat	1/3	1/4	2/4	Bite	Swoop	Violent Shred	None
Jack-in-the-Box	1/3	1/4	1/5	Bonk	Embarrass	Vulgar Display	Smart
Jill-O-Lantern	2/2	2/3	2/4	Bite	Regrow	Nasty Cloud	Regenerating
Jitterbug	x/x	2/3	3/3	Bonk	Howl	Empowering Cheer	None
Jumpsuited Hound Dog	2/2	3/2	3/3	Claw	Hug	Violent Shred	None
Killer Bee	1/3	2/3	3/3	Sting	Growl	Spiky Burst	Spiked
Knob Goblin Organ Grinder	2/2	2/3	3/3	Punch	Backstab	Deluxe Impale	None
Lepardner	2/2	3/2	3/3	Claw	Lick	Nasty Cloud	None
Leprechaun	1/3	2/3	2/4	Punch	Hug	Universal Backrub	None
Levitating Potato	1/3	2/3	2/4	Bonk	Regrow	Nasty Cloud	Regenerating
Li'l Xenomorph	2/2	2/3	2/4	Claw	Lick	Universal Backrub	None
Lil' Barrel Mimic	x/x	x/x	2/4	Bonk	Tackle	Empowering Cheer	Armor
Llama Lama	1/3	2/3	3/3	Bonk	Howl	Universal Backrub	None
Machine Elf	2/2	2/3	2/4	Punch	Hug	Universal Backrub	Smart
Mad Hatrack	2/2	2/3	2/4	Bonk	Armor Up	Deluxe Impale	Armor
Magic Dragonfish	1/3	2/3	3/3	Bonk	Splash	Healing Rain	None
MagiMechTech MicroMechaMech	1/3	2/3	2/4	Bonk	Laser Beam	Deluxe Impale	Smart
Mariachi Chihuahua	1/3	2/3	2/4	Claw	Backstab	Violent Shred	None
Mechamelion	1/3	1/4	2/4	Claw	Laser Beam	Violent Shred	Smart
Mechanical Songbird	1/3	2/3	3/3	Peck	Tackle	Violent Shred	Smart
Midget Clownfish	1/3	2/3	3/3	Bonk	Splash	Healing Rain	None
Mini-Adventurer	2/2	2/3	2/4	Punch	Hug	Deluxe Impale	None
Mini-Crimbot	1/3	1/4	1/5	Bonk	Laser Beam	Deluxe Impale	Smart
Mini-Hipster	2/2	2/3	2/4	Punch	Hug	Deluxe Impale	None
Mini-Skulldozer	2/2	2/3	2/4	Bonk	Frighten	Deluxe Impale	Smart
Miniature Sword & Martini Guy	1/3	1/4	2/4	Punch	Hug	Universal Backrub	None
MiniMechaElf	1/3	1/4	1/5	Punch	Laser Beam	Empowering Cheer	Smart
Misshapen Animal Skeleton	1/3	1/4	2/4	Claw	Frighten	Empowering Cheer	Armor
Money-Making Goblin	1/3	2/3	2/4	Punch	Hug	Vulgar Display	None
Morphan	2/2	2/3	2/4	Bonk	Encourage	Universal Backrub	None
Mosquito	2/2	3/2	3/3	Bite	Lick	Violent Shred	None
Ms. Puck Man	2/2	2/3	2/4	Bite	Retreat	Deluxe Impale	None
Mu	2/2	2/3	2/4	Bonk	Howl	Rainbow Storm	None
Mustardigrade	2/2	2/3	2/4	Bite	Lick	Violent Shred	None
Mutant Cactus Bud	2/2	2/3	2/4	Sting	Regrow	Spiky Burst	Regenerating
Mutant Fire Ant	2/2	2/3	2/4	Bite	Howl	Violent Shred	None
Mutant Gila Monster	1/3	1/4	2/4	Claw	Lick	Violent Shred	None
Nanorhino	2/2	2/3	3/3	Bonk	Lick	Universal Backrub	Smart
Nervous Tick	2/2	3/2	3/3	Bite	Encourage	Empowering Cheer	None
Ninja Pirate Zombie Robot	1/3	1/4	2/4	Claw	Backstab	Nuclear Bomb	Smart
Ninja Snowflake	1/3	2/3	2/4	Bonk	Chill Out	Deluxe Impale	None
Nosy Nose	1/3	1/4	2/4	Bonk	Stinkblast	Nasty Cloud	None
Nursine	1/3	2/3	2/4	Claw	Lick	Bear Hug	None
O.A.F.	2/2	3/2	3/3	Bonk	Tackle	Nuclear Bomb	Smart
Obtuse Angel	2/2	2/3	2/4	Punch	Swoop	Universal Backrub	None
Oily Woim	2/2	2/3	3/3	Bonk	Lick	Vulgar Display	None
Oppossum	1/3	1/4	2/4	Claw	Encourage	Universal Backrub	None
Optimistic Candle	2/2	2/3	2/4	Bonk	Hug	Universal Backrub	None
Origami Towel Crane	2/2	2/3	3/3	Peck	Swoop	Violent Shred	None
Oyster Bunny	x/x	2/3	3/3	Bonk	Lick	Universal Backrub	None
Pair of Ragged Claws	2/2	2/3	3/3	Claw	Backstab	Deluxe Impale	None
Pair of Stomping Boots	x/x	x/x	2/4	Bonk	Retreat	Deluxe Impale	None
Peaclock	2/2	3/2	3/3	Peck	Howl	Violent Shred	Smart
Penguin Goodfella	1/3	2/3	3/3	Peck	Hug	Violent Shred	None
Peppermint Rhino	2/2	2/3	2/4	Bonk	Armor Up	Violent Shred	Armor
Personal Raincloud	1/3	2/3	2/4	Bonk	Retreat	Deluxe Impale	None
Pet Cheezling	1/3	1/4	1/5	Bonk	Embarrass	Universal Backrub	None
Pet Rock	1/3	1/4	2/4	Bonk	Armor Up	Defense Matrix	None
Piano Cat	1/3	1/4	2/4	Claw	Encourage	Universal Backrub	None
Pillowbug	2/2	2/3	2/4	Bonk	Retreat	Deluxe Impale	None
Pimpsqueak	1/3	1/4	2/4	Bonk	Encourage	Vulgar Display	None
Plastic Grocery Bag	1/3	2/3	2/4	Bonk	Armor Up	Deluxe Impale	None
Pottery Barn Owl	1/3	2/3	3/3	Peck	Swoop	Violent Shred	Armor
Psychedelic Bear	x/x	x/x	3/3	Bonk	Lick	Violent Shred	None
Puck Man	1/3	2/3	2/4	Bite	Retreat	Deluxe Impale	None
Purse Rat	1/3	2/3	2/4	Bite	Encourage	Empowering Cheer	None
Putty Buddy	2/2	2/3	2/4	Bonk	Encourage	Empowering Cheer	Smart
Pygmy Bugbear Shaman	2/2	2/3	2/4	Claw	Hug	Empowering Cheer	None
Ragamuffin Imp	1/3	1/4	2/4	Claw	Breathe Fire	Empowering Cheer	None
Reagnimated Gnome	1/3	1/4	2/4	Punch	Hug	Deluxe Impale	None
Reanimated Reanimator	1/3	1/4	2/4	Punch	Hug	Deluxe Impale	None
Reassembled Blackbird	2/2	3/2	3/3	Peck	Frighten	Violent Shred	None
Reconstituted Crow	2/2	3/2	3/3	Peck	Lick	Violent Shred	None
Restless Cow Skull	2/2	2/3	2/4	Bite	Backstab	Deluxe Impale	Armor
RoboGoose	1/3	1/4	2/4	Peck	Growl	Violent Shred	Smart
Robortender	2/2	2/3	2/4	Punch	Tackle	Deluxe Impale	Smart
Robot Reindeer	1/3	1/4	1/5	Bonk	Tackle	Deluxe Impale	Smart
Rock Lobster	1/3	1/4	2/4	Claw	Embarrass	Healing Rain	None
Rockin' Robin	2/2	2/3	3/3	Peck	Howl	Violent Shred	None
Rogue Program	1/3	1/4	1/5	Punch	Hug	Universal Backrub	Smart
Ruffalo	1/3	1/4	2/4	Bonk	Howl	Violent Shred	None
Sabre-Toothed Lime	2/2	2/3	2/4	Bite	Regrow	Empowering Cheer	Regenerating
Scary Death Orb	1/3	1/4	2/4	Bonk	Backstab	Nuclear Bomb	Smart
Sequestrian	2/2	3/2	3/3	Bonk	Howl	Violent Shred	None
Shudder	1/3	1/4	2/4	Bonk	Lick	Violent Shred	None
Sleazy Gravy Fairy	1/3	1/4	1/5	Bonk	Swoop	Empowering Cheer	Regenerating
Sledgehamster	2/2	2/3	2/4	Bonk	Lick	Universal Backrub	None
Slimeling	2/2	2/3	2/4	Bonk	Encourage	Universal Backrub	Regenerating
Slotter	2/2	2/3	3/3	Claw	Howl	Blood Bath	None
Sludgepuppy	1/3	1/4	2/4	Bonk	Howl	Nasty Cloud	None
Smashmoth	1/3	1/4	2/4	Bonk	Swoop	Owl Stare	None
Smiling Rat	1/3	2/3	3/3	Claw	Encourage	Empowering Cheer	None
Snoutlet	2/2	2/3	3/3	Bonk	Laser Beam	Empowering Cheer	Smart
Snow Angel	1/3	2/3	2/4	Bonk	Swoop	Empowering Cheer	None
Snowhitman	1/3	1/4	2/4	Punch	Backstab	Deluxe Impale	None
Snowy Owl	1/3	2/3	3/3	Peck	Lick	Empowering Cheer	None
Software Bug	2/2	2/3	2/4	Bite	Laser Beam	Defense Matrix	Smart
Space Jellyfish	1/3	1/4	2/4	Sting	Backstab	Spiky Burst	Spiked
Spirit Hobo	1/3	2/3	2/4	Punch	Stinkblast	Nasty Cloud	None
Spooky Gravy Fairy	1/3	1/4	2/4	Bonk	Regrow	Empowering Cheer	Regenerating
Spooky Pirate Skeleton	1/3	1/4	2/4	Punch	Tackle	Deluxe Impale	Armor
Squamous Gibberer	2/2	3/2	4/2	Bonk	Frighten	Healing Rain	None
Squib	1/3	2/3	3/3	Bite	Splash	Violent Shred	None
Stab Bat	2/2	3/2	4/2	Sting	Embarrass	Violent Shred	Spiked
Star Starfish	2/2	2/3	3/3	Bonk	Embarrass	Violent Shred	None
Steam-Powered Cheerleader	1/3	2/3	2/4	Punch	Tackle	Universal Backrub	Smart
Stinky Gravy Fairy	1/3	2/3	2/4	Bonk	Swoop	Universal Backrub	Regenerating
Stocking Mimic	2/2	2/3	2/4	Bonk	Embarrass	Vulgar Display	None
Stooper	1/3	2/3	2/4	Bite	Encourage	Universal Backrub	None
Straypler	2/2	2/3	2/4	Bite	Laser Beam	Deluxe Impale	Smart
Sugar Fruit Fairy	1/3	1/4	1/5	Bonk	Hug	Universal Backrub	Regenerating
Sweet Nutcracker	1/3	1/4	1/5	Bite	Armor Up	Deluxe Impale	Armor
Syncopated Turtle	2/2	2/3	2/4	Bite	Stinkblast	Nasty Cloud	Armor
Teddy Bear	1/3	2/3	2/4	Claw	Lick	Empowering Cheer	None
Teddy Borg	1/3	1/4	2/4	Claw	Encourage	Nuclear Bomb	Smart
Temporal Riftlet	x/x	x/x	2/4	Bonk	Retreat	Deluxe Impale	None
Tickle-Me Emilio	2/2	2/3	2/4	Bonk	Embarrass	Vulgar Display	None
Toothsome Rock	1/3	1/4	1/5	Bite	Armor Up	Deluxe Impale	Armor
Topiary Skunk	1/3	2/3	3/3	Claw	Howl	Violent Shred	Regenerating
Trafikoan	2/2	2/3	2/4	Bonk	Embarrass	Vulgar Display	None
Trick-or-Treating Tot	2/2	2/3	2/4	Punch	Hug	Empowering Cheer	None
Turpin	1/3	1/4	1/5	Bonk	Growl	Violent Shred	Armor
Turtive	1/3	2/3	2/4	Bonk	Tackle	Violent Shred	Armor
Twitching Space Critter	2/2	3/2	3/3	Bonk	Lick	Violent Shred	None
Unconscious Collective	1/3	2/3	2/4	Punch	Encourage	Unknown	None
Underworld Bonsai	2/2	2/3	2/4	Bonk	Embarrass	Nasty Cloud	Regenerating
Ungulant	2/2	2/3	2/4	Bonk	Embarrass	Violent Shred	None
Uniclops	1/3	1/4	2/4	Bonk	Hug	Universal Backrub	None
Unspeakachu	2/2	3/2	3/3	Claw	Howl	Empowering Cheer	None
Untamed Turtle	2/2	2/3	2/4	Bite	Splash	Healing Rain	Armor
Urchin Urchin	1/3	1/4	2/4	Sting	Splash	Healing Rain	Spiked
Vampire Bat	2/2	3/2	4/2	Peck	Frighten	Violent Shred	None
Vamprey	2/2	2/3	2/4	Bite	Splash	Violent Shred	None
Vaporpoise	2/2	2/3	3/3	Bonk	Lick	Violent Shred	None
Vulgure	2/2	2/3	2/4	Peck	Lick	Violent Shred	None
Waifuton	2/2	2/3	2/4	Bonk	Embarrass	Empowering Cheer	None
Warbear Drone	1/3	1/4	1/5	Bonk	Laser Beam	Defense Matrix	Smart
Wendtigo	2/2	2/3	2/4	Claw	Hug	Violent Shred	None
Wereturtle	2/2	2/3	3/3	Bite	Splash	Violent Shred	Armor
Whirling Maple Leaf	1/3	2/3	2/4	Bonk	Regrow	Nasty Cloud	Regenerating
Wild Hare	2/2	2/3	2/4	Bonk	Lick	Violent Shred	None
Wind-up Chattering Teeth	1/3	1/4	1/5	Bite	Frighten	Deluxe Impale	Smart
Wizard Action Figure	1/3	1/4	1/5	Punch	Tackle	Deluxe Impale	Armor
Worm Doctor	2/2	3/2	3/3	Bonk	Growl	Violent Shred	None
Wullabye	1/3	2/3	3/3	Bite	Growl	Universal Backrub	None
Xiblaxian Holo-Companion	x/x	2/3	2/4	Bonk	Laser Beam	Deluxe Impale	Smart
XO Skeleton	1/3	1/4	1/5	Punch	Tackle	Universal Backrub	Armor
