2
# Numeric modifiers can now be expressions, enclosed in square brackets.
# No spaces are allowed within the expression, except as part of a zone/location name.
# + - * / ( ) have their usual mathematical meaning and precedence.
# ^ is exponentiation, with the highest precedence.
# Functions available:
#	ceil(x) floor(x) sqrt(x) min(x,y) max(x,y) abs(x)
# Location functions: loc(text) zone(text)
#	These have a value of 1 if the current adventure location or zone contains the
#	specified text, 0 elsewhere.
# Path function: path(text)
#	This has a value of 1 if the player's path matches the text.
# Familiar function: fam(text)
#	This has a value of 1 if the player's familiar type contains the text, else 0.
# Weapon function: mainhand(text)
#	This has a value of 1 if the player's mainhand weapon class (sword, club, etc.)
#	contains the text.
# Preferences function: pref(text)
# Effect function: effect(text)
#	This returns the number of turns remaining of the effect uniquely matching text.
# Resistance function: res(text)
#	This returns the number of resistance levels for the listed element
# Class function: class(text)
#	This has a value of 1 if the player's class matches the text.
# Skill function: skill(text)
#	This has a value of 1 if the player has the skill matching the text.
# There can be at most one of each text function in any single expression.
# Upper-case letters are varying values:
#	A - number of Ascensions
#	B - Blood of Wereseal effect
#	C - Clancy's level
#	D - Drunkenness
#	E - active (nonintrinsic) Effects
#	F - Fullness
#	G - Grimace darkness (0..5)
#	H - Hobo Power
#	I - Disco Momentum
#	J - 1 on Festival of Jarlsberg, 0 otherwise
#	K - Smithsness
#	L - player Level
#	M - total Moonlight (0..9)
#	N - AudieNce
#	P - Pasta Thrall level
#	R - Reagent potion duration
#	S - Spleenness
#	T - Turns remaining of this effect
#	U - telescope Upgrades
#	W - familiar Weight
#	X - gender (-1=male, 1=female)
#	Y - furY
#
# Items which "change with every new day":
#
# Tuesday's Ruby
#	Sunday		+5% Meat from Monsters
#	Monday		Muscle +5%
#	Tuesday		Regenerate 3-7 MP per adventure
#	Wednesday	+5% Mysticality
#	Thursday	+5% Item Drops from Monsters
#	Friday		+5% Moxie
#	Saturday	Regenerate 3-7 HP per adventure

# Hats section of modifiers.txt

battered old top-hat	Maximum HP: +500, Muscle Percent: +5, Familiar Effect: "0.5xVolley, 0.75xFairy"
beer helmet	Maximum MP: +40, Familiar Effect: "0.5xBarrr, 1xFairy, cap 42"
beholed bedsheet	Familiar Effect: "8xVolley, 8xLep, cap 2"
big bad voodoo mask	Mysticality: +7, Spell Damage: +15, Familiar Effect: "1xBarrr, 1xGhuol, cap 40"
Big Candy's tophat	Candy Drop: +25, Damage Reduction: 5, Familiar Effect: "1xGhoul, 1xFairy, cap 25"
biomechanical crimborg helmet	Hot Damage: +5, Stench Damage: +5, Familiar Effect: "atk, 1xFairy, cap 37"
black cowboy hat	Muscle: +8, Weapon Damage: +8, Familiar Effect: "1xBarrr, 1xLep, cap 41"
black helmet	Maximum HP: +30, Familiar Effect: "1xFairy, cap 40"
blue traffic cone	Moxie: +3, Hot Resistance: +2, Familiar Effect: "2xLep, 2xFairy, cap 15"
bonedanna	Spooky Resistance: +3, Weapon Damage: +20, Familiar Effect: "atk, cap 30"
Boris's Helm	Initiative: +25, Weapon Damage Percent: +50, Familiar Weight: +5, MP Regen Min: [floor(L/2)+1], MP Regen Max: [floor(L/2)+3], Free Pull, Minstrel Level: +1, Familiar Effect: "atk, MP regen, cap 25"
Boris's Helm (askew)	Initiative: +25, Monster Level: +15, Weapon Damage Percent: +50, Familiar Weight: +5, MP Regen Min: [floor(L/2)+1], MP Regen Max: [floor(L/2)+3], Free Pull, Minstrel Level: +1, Familiar Effect: "atk, MP regen, cap 25"
bounty-hunting helmet	Item Drop: +20, Familiar Effect: "1.5xFairy, cap 25"
bowler	Muscle: +5, Familiar Effect: "1.5xVolley, 1.5xLep, cap 25"
# brainwave-controlled unicorn horn: Enables Friendship.  And Goring.
brainwave-controlled unicorn horn	Maximum HP: +20, Maximum MP: +20, Familiar Effect: "atk, 5xVolley, cap 2"
BRICKO hat	Maximum MP: +3, Familiar Effect: "atk, cap 7"
Brimstone Beret	Moxie Percent: +50, Muscle Percent: -20, Four Songs, Brimstone, Familiar Effect: "1xVolley, 1xLep"
Brogre bucket hat	Combat Rate: +5, Familiar Effect: "1xVolley, 1xBarrr, cap 14"
brown felt tophat	Mysticality: +5, Familiar Effect: "1xLep, cap 37"
bubblewrap bottlecap turtleban	Mysticality: +3, Maximum MP: +5, MP Regen Min: 2, MP Regen Max: 3, Familiar Effect: "1xPotato, 2xLep, cap 17"
bugbear beanie	Familiar Effect: "atk, cap 7"
bum cheek	Stench Resistance: +1, Familiar Effect: "stench atk, 1xVolley, cap 5"
catskin cap	Muscle: +9, Maximum HP: +40, Familiar Effect: "1xVolley, 1xBarrr, cap 45"
centurion helmet	Muscle: +7, Mysticality: +7, Moxie: +7, Familiar Effect: "1xFairy, atk, cap 25"
# Cerebral Cloche: Jellyfish Vision
Cerebral Cloche	Maximum HP: +15, Familiar Effect: "1.5xLep, cap 22"
chef's hat	Mysticality: +2, MP Regen Min: 1, MP Regen Max: 1, Familiar Effect: "atk, 3xLep, cap 7"
chrome helmet turtle	Muscle: +5, Mysticality: +5, Moxie: +5, Familiar Effect: "cold atk, 1xFairy, cap 30"
clingfilm cap	Spooky Resistance: +1, Stench Resistance: +1, Hot Resistance: +1, Cold Resistance: +1, Sleaze Resistance: +1, MP Regen Min: 2, MP Regen Max: 3, Familiar Effect: "1xVolley, cap 37"
Cloaca-Cola helmet	Damage Absorption: +10, Familiar Effect: "3xFairy, cap 7"
clockwork hat	Spooky Resistance: +1, Familiar Effect: "atk, 1xVolley, cap 20"
clown wig	Mysticality: +3, Spell Damage: +3, Clownosity: +2, Familiar Effect: "chromatic atk, 1xPotato, cap 12"
coconut shell	Damage Absorption: +1, Familiar Effect: "1xFairy, cap 7"
Colander of Em-er'il	Mysticality: +11, MP Regen Min: 2, MP Regen Max: 6, Class: "Pastamancer", Familiar Effect: "3xGhuol, cap 25"
cold ninja mask	Initiative: +15, Familiar Effect: "cold atk, 1xBarrr, cap 20"
cold water bottle	Cold Damage: +10, Cold Spell Damage: +20, Hot Resistance: +2, Familiar Effect: "atk, 1xFairy, cap 40"
cool iron helmet	Damage Reduction: 20, Hot Resistance: +3, Familiar Effect: "atk, 1xFairy"
cornuthaum	Mysticality: +3, Moxie: +3, Familiar Effect: "1.5xPotato, 1.25xFairy, cap 21"
corrosive cowl	Spooky Damage: +30, Spooky Resistance: +4, Slime Hates It: +1, Familiar Effect: "0.5xPotato, 0.5xFairy"
Covers-Your-Head	Moxie: +250, Maximum HP: +100, Maximum MP: +100, Initiative: +50, Class: "Disco Bandit", Familiar Effect: "atk, 2xVolley"
crappy Mer-kin mask	Stench Resistance: +3, Item Drop: -25, Initiative: -50, Adventure Underwater, Familiar Effect: "hot atk, 1xBarrr"
Crimbo hat	Spooky Resistance: +1, Familiar Effect: "1.75xVolley, 1.75xLep, cap 25"
Crown of the Goblin King	Muscle: +10, Familiar Effect: "2xBarrr, 1xGhuol, cap 17"
# Crown of Thrones: Put a Familiar In It!
# Crown of Thrones: That Familiar gains 1 Experience per Fight
Crown of Thrones	Softcore Only
crown-shaped beanie	Slime Resistance: +1, Food Drop: +20, Initiative: +20, Familiar Effect: "1xBarrr, 1xGhuol"
crumpled felt fedora	Familiar Weight: +10, Muscle Percent: +5, Familiar Effect: "0.75xVolley, 0.75xLep"
cursed eyepatch	Mysticality: +15, Familiar Effect: "spooky atk, 1xBarrr"
demon-horned hat	Moxie: +4, Familiar Effect: "hot atk, 1xLep, cap 17"
depleted Grimacite ninja mask	Moxie Percent: [5*G], PvP Fights: [G], Familiar Effect: "1xBarrr, 1xFairy, cap 25"
dilapidated wizard hat	Hot Damage: +10, Hot Spell Damage: +15, Familiar Effect: "cap 31"
Disco 'Fro Pick	Moxie: +11, Initiative: +11, Class: "Disco Bandit", Familiar Effect: "3xGhuol, cap 25"
disco mask	Moxie: +1, Familiar Effect: "atk, cap 2"
Dolphin King's crown	Muscle: +2, Mysticality: +2, Moxie: +2, Familiar Effect: "atk, 2xGhuol, cap 8"
# double-ice cap: Stuns opponents who hit you
double-ice cap	MP Regen Min: 5, MP Regen Max: 9, Cold Damage: +10, Familiar Effect: "1xPotato, 1xFairy, cap 17"
draggin' ball hat	Moxie: +6, Muscle: -3, Familiar Effect: "atk, 1xVolley, cap 25"
# dreadful fedora: Lets you find 5% more Krueggerands
dreadful fedora	Spooky Damage: +25, Spooky Spell Damage: +25, Familiar Effect: "spooky atk, 1xLep"
duct tape fedora	Mysticality: +12, Maximum MP: +40, Familiar Effect: "1xBarrr, 1xLep, cap 48"
# dwarvish war helmet: Heads Up!
dwarvish war helmet	Familiar Effect: "atk, 1xFairy, cap 41"
Dyspepsi-Cola helmet	Damage Absorption: +10, Familiar Effect: "3xFairy, cap 7"
# eelskin hat: Damages Attacking Opponent (Underwater Only)
eelskin hat	Spell Damage Percent: +15, Familiar Effect: "atk"
El Sombrero De Lopez	Moxie: +11, Ranged Damage: +7, Class: "Accordion Thief", Familiar Effect: "3xGhuol, cap 25"
El Vibrato helmet	Familiar Effect: "0.5xPotato, 1xFairy"
Elder Turtle Shell	Muscle: +11, Familiar Weight: +3, Class: "Turtle Tamer", Familiar Effect: "3xGhuol, cap 25"
enchanted eyepatch	Mysticality: +5, Familiar Effect: "4xBarrr, cap 8"
enchantlers	Hot Spell Damage: +10, Familiar Effect: "hot atk, 1xLep, cap 28"
extra-large palm-frond toupee	Experience: +2, Familiar Effect: "1xVolley, 1xPotato, cap 37"
eXtreme scarf	Mysticality: +5, Familiar Effect: "atk, 1xBarrr, cap 25"
eyepatch	Moxie: +2, Familiar Effect: "3xBarrr, cap 6"
f3d0r4	Moxie: +6, Familiar Effect: "atk, 1xLep, cap 27"
fancy ball mask	Moxie Percent: +10, Familiar Effect: "1xBarrr, 1xFairy, cap 22"
fancy tophat	Mysticality Percent: +15, Familiar Effect: "1xBarrr, cap 25"
festive holiday hat	Moxie: +1, Cold Resistance: +1, Familiar Effect: "1xFairy, cap 7"
fez of etymology	Moxie: +7, Familiar Effect: "1xLep, cap 30"
filthy knitted dread sack	Stench Damage: +3, Familiar Effect: "1xVolley, 1xPotato, cap 15"
fire	Initiative: +10, Hot Damage: +7, Familiar Effect: "hot atk, 1xVolley, cap 2"
# fireman's helmet: +1 FDKOL Commendation per Fire
fireman's helmet	Hot Resistance: +3, Muscle Percent: +10, Mysticality Percent: +10, Moxie Percent: +10, Familiar Effect: "cold atk"
floaty rock helmet	Spell Critical Percent: +10, Familiar Effect: "1xGhuol, cap 25"
foam commodore's hat	Weapon Damage Percent: +25, Spell Damage Percent: +25, Familiar Effect: "atk, 1xVolley"
foolscap fool's cap	Moxie: +2, Mysticality: -2, Clownosity: +1, Familiar Effect: "3xVolley, cap 10"
football helmet	Familiar Effect: "atk, cap 37"
Frosty's old silk hat	Muscle Percent: +20, Cold Damage: +30, Class: "Seal Clubber", Familiar Effect: "cold atk"
funny paper hat	Muscle: +5, Mysticality: +5, Moxie: +5, Familiar Effect: "1xVolley, 1xLep, cap 2"
furry green turtle	Moxie: +3, Familiar Effect: "2xPotato, 2xFairy, cap 11"
fuzzy busby	Muscle: +11, Weapon Damage: +10, Familiar Effect: "1.5xVolley, cap 32"
fuzzy earmuffs	Mysticality: +11, MP Regen Min: 2, MP Regen Max: 3, Familiar Effect: "1.5xVolley, cap 32"
fuzzy montera	Moxie: +7, Initiative: +7, Ranged Damage: +7, Familiar Effect: "1.5xVolley, cap 32"
ganger bandana	Muscle Percent: +5, Weapon Damage Percent: +15, Familiar Effect: "atk"
gasmask	Stench Resistance: +3, Familiar Effect: "1xBarrr, cap 12"
ghast iron Garibaldi	Spooky Damage: +10, Hot Damage: +10, Familiar Effect: "atk, 1xFairy, cap 14"
giant discarded bottlecap	Damage Reduction: 3, Mysticality: -10, Familiar Effect: "atk, 1xFairy, cap 38"
giant yellow hat	Familiar Damage: +10, Experience (familiar): +1, HP Regen Min: 4, HP Regen Max: 8, MP Regen Min: 4, MP Regen Max: 8
goat beard	Mysticality: +3, Familiar Effect: "atk, 1xPotato, cap 15"
# Goggles of Loathing: Makes you a better diver
Goggles of Loathing	Initiative: +50, Hot Resistance: +5, Initiative Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))], Item Drop Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))], Meat Drop Penalty: [10*(zone(The Sea)+loc(The Sunken Party Yacht))], Cloathing, Familiar Effect: "1.5xVolley, 1.5xBarrr"
gold crown	Sleaze Resistance: +3, HP Regen Min: 2, HP Regen Max: 4, MP Regen Min: 2, MP Regen Max: 4, Meat Drop: +10, Familiar Effect: "3xGhoul, cap 37"
goofily-plumed helmet	Familiar Effect: "atk, cap 17"
googly-ball hat	Mysticality: +10, Experience (Mysticality): +3
googly-heart hat	Moxie: +10, Experience (Moxie): +3
googly-star hat	Muscle: +10, Experience (Muscle): +3, Familiar Effect: "atk"
grass hat	Maximum MP: +10, Familiar Effect: "2xVolley, 1xBarrr, cap 20"
Great Wolf's headband	Muscle: +250, Maximum HP: +250, HP Regen Min: 50, HP Regen Max: 100, Class: "Seal Clubber", Familiar Effect: "atk, 1xVolley"
green cloth cap	Stench Resistance: +1, Maximum HP: +15, Maximum MP: +15, Moxie: +3, Familiar Effect: "atk, 1xVolley, cap 12"
green traffic cone	Moxie: +3, Stench Resistance: +2, Familiar Effect: "2xLep, 2xFairy, cap 15"
Grimacite gasmask	Weapon Damage: +15, Muscle Percent: [10*G], Familiar Effect: "1xLep, 1.5xFairy, cap 37"
Grimacite goggles	Adventures: +3, Mysticality Percent: [10*G], Familiar Effect: "1xVolley, 1xLep, cap 31"
grungy bandana	Stench Damage: +10, Sleaze Damage: +10, Familiar Effect: "1xVolley, 0.5xPotato, cap 37"
guard turtle shell	Maximum HP: +50, Familiar Effect: "atk, 1xFairy, cap 40"
Hairpiece On Fire	Cold Resistance: +2, Adventures: +4, Smithsness: +5, Maximum MP: [K], Familiar Effect: "atk, 1xPotato, cap 25"
hangman's hood	Muscle: +50, Weapon Damage: +50, Damage Reduction: 10
hardened slime hat	Spooky Resistance: +3, Stench Resistance: +3, Hot Resistance: +3, Cold Resistance: +3, Sleaze Resistance: +3, Damage Reduction: 10, Muscle Percent: +20, Familiar Effect: "1xFairy"
Hat O' Nine Tails	Moxie Percent: +9
Helm of the Scream Emperor	MP Regen Min: 1, MP Regen Max: 3, Experience: +2, Muscle Percent: +5, Mysticality Percent: +5, Moxie Percent: +5, Familiar Effect: "spooky atk, 1xFairy, cap 30"
helm of the white knight	HP Regen Min: 2, HP Regen Max: 5, MP Regen Min: 2, MP Regen Max: 5, Spooky Resistance: +1, Stench Resistance: +1, Hot Resistance: +1, Cold Resistance: +1, Sleaze Resistance: +1, Familiar Effect: "atk, 1xVolley, cap 15"
helmet turtle	Muscle: +1, Familiar Effect: "atk, cap 2"
Hodgman's porkpie hat	Muscle Percent: +20, Mysticality Percent: +20, Moxie Percent: +20, Hobo Power: +25, Familiar Effect: "atk, 0.5xVolley, 0.5xFairy"
Hollandaise helmet	Spell Damage: +1, Familiar Effect: "atk, cap 2"
honeycap	Moxie Percent: +5, Item Drop: +10, Ranged Damage: +15, Familiar Effect: "1xPotato, cap 43"
hot daub bun	Hot Damage: +9, Hot Spell Damage: +9, Familiar Effect: "hot atk, cap 21"
ice pick	Item Drop: +15, Softcore Only, Familiar Effect: "1.5xLep, 1.5xFairy, cap 25"
indie comic hipster glasses	Muscle: +5, Mysticality: +5, Moxie: +5, Softcore Only, Familiar Effect: "1xVolley, 8xLep, cap 2"
# insane tophat: We're All Mad Here!
insane tophat	Familiar Effect: "1xVolley, 1xLep, cap 7"
insulting hat	PvP Fights: +3, Familiar Effect: "cap 2"
intimidating coiffure	Muscle Percent: +25, Mysticality Percent: +25, Moxie Percent: +25, Familiar Effect: "hot afk, 1xPotato"
invisible bag	Familiar Effect: "8xVolley, 8xLep, cap 2"
irate sombrero	Weapon Damage: +3, Familiar Effect: "1xPotato, 3xLep, cap 11"
iron helmet	Cold Resistance: +2, MP Regen Min: 1, MP Regen Max: 2, Initiative: +10, Familiar Effect: "atk, 1xFairy, cap 25"
ironic knit cap	Maximum MP: +20, Mysticality: +1, Familiar Effect: "1xVolley, 2xPotato, cap 10"
Jarlsberg's hat	Mysticality: +5, MP Regen Min: 4, MP Regen Max: 5, Experience (Mysticality): +1
# jewel-eyed wizard hat: Regenerate MP Based on Level
# jewel-eyed wizard hat: +5 Duration to Buffs You Cast
# jewel-eyed wizard hat: Allows casting of Magic Missile
jewel-eyed wizard hat	Maximum MP: +30, Mana Cost: -1, Softcore Only, MP Regen Min: [floor(L/2)+1], MP Regen Max: [floor(L/2)+3], Familiar Effect: "atk, 5xVolley, 5xLep, cap 2"
Kentucky-style derby	Familiar Effect: "atk, cap 5"
Knob Goblin elite helm	Muscle: +3, Familiar Effect: "2xFairy, cap 15"
Knob Goblin harem veil	Stench Resistance: +1, Familiar Effect: "5xLep, cap 2"
Knob Goblin visor	Moxie: +3, Familiar Effect: "2xVolley, 1xPotato, cap 12"
knobby helmet turtle	Weapon Damage: +1, Familiar Effect: "atk, 2xFairy, cap 5"
KoL Con 3-D Glasses	Familiar Effect: "8xLep, 1xFairy, cap 2"
# leather aviator's cap: Kill 5% More Skeletons
leather aviator's cap	Adventures: +5, Damage Reduction: 1, Familiar Effect: "atk, cap 12"
leather mask	Muscle: +3, Moxie: -3, Familiar Effect: "sleaze atk, 1xBarrr, cap 15"
lemon party hat	Candy Drop: +50, Lasts Until Rollover, Familiar Effect: "1xVolley, cap 12"
Lens of Hatred	Meat Drop: +15, Reduce Enemy Defense: 10, Spell Damage Percent: +60, Familiar Effect: "hot atk, 1xBarrr"
# Lens of Violence: Allows you to discover your opponents' magical weaknesses
Lens of Violence	Item Drop: +15, Critical Hit Percent: +5, Weapon Damage Percent: +30, Familiar Effect: "atk, 1xBarrr"
lihc face	Spooky Resistance: +2, Familiar Effect: "spooky atk, 1xBarrr, cap 22"
linoleum helmet turtle	Maximum HP: +10, Maximum MP: +10, Familiar Effect: "stench atk, 1xFairy, cap 25"
longhaired hippy wig	Stench Damage: +20, Mysticality Percent: +5, Familiar Effect: "1xPotato, 1xGhuol"
lynyrdskin cap	Initiative: +25, Familiar Effect: "1xPotato, 1xVolley, cap 42"
MAHI fez	Moxie: +30, Familiar Effect: "0.5xVolley, 0.5xPotato, 0.5xLep, 0.5xFairy"
maiden wig	Familiar Effect: "2xPotato, cap 8"
# makeshift turban: Interferes with your vision
makeshift turban	Spooky Resistance: +2, Familiar Effect: "1.5xBarrr, 1xLep, cap 25"
makeshift yakuza mask	Moxie: -10
mariachi hat	Moxie: +1, Familiar Effect: "atk, cap 2"
Mark I Steam-Hat	Mysticality: +5, Maximum HP: +20, Familiar Effect: "1xLep, cap 37"
Mark II Steam-Hat	Mysticality: +5, Maximum HP: +20, Initiative: +15, Familiar Effect: "1xLep, cap 37"
Mark III Steam-Hat	Mysticality: +5, Maximum HP: +20, Initiative: +15, Never Fumble, Familiar Effect: "1xLep, cap 37"
Mark IV Steam-Hat	Mysticality: +5, Maximum HP: +20, Initiative: +15, Never Fumble, Item Drop: +10, Familiar Effect: "1xLep, cap 37"
# Mark V Steam-Hat: Has a Death Ray on it
Mark V Steam-Hat	Mysticality: +5, Maximum HP: +20, Initiative: +15, Never Fumble, Item Drop: +10, Familiar Effect: "1xLep, cap 37"
Mayor Ghost's toupee	Mysticality: +250, Maximum MP: +125, MP Regen Min: 25, MP Regen Max: 50, Class: "Pastamancer", Familiar Effect: "spooky atk, 1xBarrr"
meat cowboy hat	Muscle: +3, Familiar Effect: "1xBarrr, 3xLep, cap 10"
meatloaf helmet	Muscle: +3, Weapon Damage: +1, Familiar Effect: "1xBarrr, 1.5xFairy, cap 13"
meaty helmet turtle	Muscle: +3, Familiar Effect: "sleaze atk, 1xFairy, cap 17"
Mer-kin bunwig	Spell Damage: +20, Spell Critical Percent: +10, Familiar Effect: "1xVolley"
Mer-kin facecowl	Mysticality Percent: +10, Spell Damage Percent: +30, MP Regen Min: 8, MP Regen Max: 12
Mer-kin gladiator mask	Stench Resistance: +3, Item Drop: -25, Initiative: -50, Adventure Underwater, Familiar Effect: "3xBarrr"
Mer-kin headguard	PvP Fights: +2, Monster Level: +10, Weapon Damage Percent: +20
Mer-kin scholar mask	Stench Resistance: +3, Item Drop: -25, Initiative: -50, Adventure Underwater, Familiar Effect: "cold atk"
Mer-kin sneakmask	Moxie Percent: +5, Initiative: +30, Combat Rate (Underwater): -5, Familiar Effect: "1xBarrr, 1xFairy"
mesh cap	Muscle: +15, Moxie: -5, Familiar Effect: "atk, 1xVolley, cap 41"
# metallic foil cat ears: Not Amused
metallic foil cat ears	Familiar Effect: "atk, cap 7"
miner's helmet	Item Drop: +5, Familiar Effect: "1xBarrr, 1xFairy, cap 20"
Mohawk wig	Weapon Damage: +10, Familiar Effect: "1xPotato, 1xGhuol, cap 35"
moist sailor's cap	Muscle Percent: +10, Stench Damage: +20, Hot Resistance: +4, Familiar Effect: "stench atk"
Moonthril Circlet	Mysticality Percent: [15*G], Familiar Effect: "2xVolley, cap 25"
moose antlers	Critical Hit Percent: +5, Familiar Effect: "atk, 1xLep, cap 27"
muddy pirate hat	Item Drop: +5, Initiative: +20, Familiar Effect: "1xFairy, cap 31"
mullet wig	Sleaze Damage: +2, Familiar Effect: "3xPotato, 2xGhuol, cap 10"
mummy costume	Familiar Effect: "1xVolley, 8xLep, cap 2"
mummy mask	Spooky Damage: +12, Familiar Effect: "1xBarrr, 1xFairy, cap 42"
nasty rat mask	Moxie: +9, Monster Level: -5, Familiar Effect: "sleaze atk, 1xBarrr, cap 45"
neoprene skullcap	Moxie: +7, Familiar Effect: "atk, 1xFairy, cap 16"
nurse's hat	Maximum HP: +300, HP Regen Min: 30, HP Regen Max: 60, MP Regen Min: 10, MP Regen Max: 15, Familiar Effect: "atk"
oil cap	MP Regen Min: 2, MP Regen Max: 4, Sleaze Resistance: +2, Familiar Effect: "cap 28"
Ol' Scratch's stovepipe hat	Mysticality Percent: +20, Hot Spell Damage: +30, Class: "Sauceror", Familiar Effect: "hot atk"
opera mask	Moxie: -5, Familiar Effect: "spooky atk, 1xBarrr, cap 2"
orange peel hat	Spooky Resistance: +3, Stench Resistance: +3, Hot Resistance: +3, Cold Resistance: +3, Sleaze Resistance: +3, Familiar Effect: "atk, 1xVolley"
orange traffic cone	Moxie: +3, Spooky Resistance: +2, Familiar Effect: "cap 15"
Orcish baseball cap	Muscle: +3, Mysticality: -3, Familiar Effect: "1xVolley, 1xBarrr, cap 15"
oriole-feather headdress	Maximum HP: +1, Maximum MP: +1, Familiar Effect: "atk, 3xVolley, cap 3"
outrageous sombrero	Muscle: +5, Mysticality: +5, Moxie: +5, Initiative: -20, Familiar Effect: "1.5xLep, 1.5xFairy, cap 25"
pail	Damage Absorption: +10, Familiar Effect: "2xFairy, cap 7"
panhandle panhandling hat	Food Drop: +30, Familiar Effect: "1xLep, cap 37"
paperclip turban	Muscle: +5, Mysticality: +5, Moxie: +5, Maximum HP: +5, Maximum MP: +5, Damage Reduction: 5, Familiar Effect: "atk, cap 12"
# papier-mitre: Helps you describe things
papier-mitre	Familiar Weight: +5, PvP Fights: +2, Familiar Effect: "1xVolley, cap 25"
# parasitic headgnawer: Deals 30-45 damage to attackers
parasitic headgnawer	Familiar Effect: "atk, cap 7"
# party hat: (On the Festival of Jarlsberg only)
party hat	MP Regen Min: [3*J], MP Regen Max: [5*J], Mysticality: +3, Familiar Effect: "4xLep, cap 7"
passable elf mask	Familiar Effect: "atk, cap 2"
