1
# Item id	Item name	Value
240	Orcish cargo shorts	1
241	Orcish frat-paddle	1
242	orange	1
243	grapefruit	1
244	grapes	1
245	olive	1
246	tomato	1
247	fermenting powder	1
248	salty dog	2
249	bloody mary	1
250	screwdriver	1
251	martini	1
252	bloody beer	1
253	shot of orange schnapps	1
254	shot of grapefruit schnapps	1
255	fine wine	1
256	shot of tomato schnapps	1
257	extra-spicy bloody mary	1
258	dense meat stack	1
259	white snake skin	1
260	White Citadel fries	1
261	White Citadel burger	1
262	piece of wedding cake	1
263	white chocolate chips	1
264	white chocolate chip cookies	1
265	white satin pants	1
266	white lightning	1
267	mullet wig	1
268	meat cowboy hat	3
269	white sword	1
270	white picket fence	1
271	enchanted barbell	1
272	concentrated magicalness pill	1
273	giant moxie weed	1
274	Familiar-Gro™ Terrarium	1
276	leprechaun hatchling	5
277	extra-strength strongness elixir	1
278	jug-o-magicalness	1
279	suntan lotion of moxiousness	1
280	Pick-O-Matic lockpicks	1
285	walrus-tusk earring	1
286	ring of half-assed regeneration	1
287	Boris's ring	3
288	potato sprout	4
289	Jarlsberg's earring	3
290	Sneaky Pete's breath spray	3
291	can of maces	1
292	rubber axe	1
293	chef's hat	1
294	pail	1
295	demonskin trousers	1
296	dungeoneer's dungarees	1
297	tamarind-flavored chewing gum	1
298	lime-and-chile-flavored chewing gum	1
299	pickle-flavored chewing gum	1
300	jabañero-flavored chewing gum	1
301	flat dough	1
302	Knob sausage	3
303	Knob mushroom	1
304	dry noodles	2
305	Knob Goblin harem pants	1
306	Knob Goblin harem veil	1
307	Knob Goblin perfume	1
308	Knob Goblin elite helm	1
309	Knob Goblin elite pants	1
310	Knob Goblin elite polearm	1
311	hill of beans	1
312	Knob Goblin visor	1
313	Crown of the Goblin King	1
314	bean burrito	1
315	spicy bean burrito	1
316	insanely spicy bean burrito	1
317	enchanted bean burrito	1
318	spicy enchanted bean burrito	1
319	insanely spicy enchanted bean burrito	1
320	bat haggis	1
321	menudo	1
322	goat cheese	1
323	plain pizza	1
324	sausage pizza	1
325	goat cheese pizza	1
326	mushroom pizza	1
327	goat	4
328	bottle of whiskey	1
329	goat beard	1
330	glass of goat's milk	3
331	white Canadian	4
332	lemon	1
333	lime	1
334	sabre teeth	1
335	sabre-toothed lime cub	2
338	tenderizing hammer	1
340	Knob Goblin steroids	1
341	Knob Goblin love potion	1
342	Knob Goblin stink bomb	1
343	Knob Goblin sharpening spray	1
344	Knob Goblin seltzer	1
345	Knob Goblin superseltzer	2
346	scrumptious reagent	3
347	Dyspepsi-Cola	1
348	cold ninja mask	1
349	icy katana hilt	1
350	hot katana blade	1
351	icy-hot katana	4
352	ninja hot pants	1
353	frigid ninja stars	1
354	frozen nunchaku	1
355	eXtreme scarf	1
356	snowboarder pants	1
357	Mountain Stream soda	2
358	gr8ps	2
359	t8r tots	1
360	miner's helmet	1
361	miner's pants	1
362	7-Foot Dwarven mattock	1
363	linoleum ore	1
364	asbestos ore	1
365	chrome ore	1
375	linoleum meat stack	4
376	asbestos meat stack	4
377	chrome meat stack	3
378	linoleum sword	1
379	linoleum staff	4
380	linoleum crossbow	1
381	asbestos sword	3
382	asbestos staff	4
383	asbestos crossbow	4
384	chrome sword	3
385	chrome staff	3
386	chrome crossbow	3
388	yeti fur	1
389	meaty helmet turtle	4
390	asbestos helmet turtle	4
391	linoleum helmet turtle	4
392	chrome helmet turtle	4
393	penguin skin	1
394	yak skin	1
395	hippopotamus skin	1
396	penguin shorts	3
397	yakskin pants	2
398	hippopotamus pants	3
399	eXtreme mittens	1
400	handful of drink tickets	4
401	Knob Kitchen grab-bag	5
402	swashbuckling pants	1
403	stuffed shoulder parrot	1
404	acoustic guitarrr	2
405	sunken chest	2
406	pirate pelvis	1
407	pirate skull	5
408	spooky pirate skeleton	5
409	vial of patchouli oil	1
410	sk8board	1
411	Jolly Roger charrrm	1
412	barrrnacle	1
413	Jolly Roger charrrm bracelet	3
414	crowbarrr	1
415	leotarrrd	1
416	safarrri hat	1
417	henna tattoo	1
418	Ferrigno's Elixir of Power	3
419	serum of sarcasm	2
420	tomato juice of powerful power	2
421	philter of phorce	2
422	potion of potency	1
423	cordial of concentration	1
424	ointment of the occult	2
425	oil of expertise	3
426	potion of temporary gr8ness	3
427	box	2
428	nothing-in-the-box	3
429	beanbag chair	4
430	acid-squirting flower	1
431	clown shoes	1
432	bloody clown pants	1
433	long skinny balloon	1
434	balloon helmet	1
435	balloon sword	1
436	balloon monkey	4
437	chef skull	4
438	chef-in-the-box	5
439	bartender skull	5
440	bartender-in-the-box	5
443	beer lens	4
444	beer goggles	4
445	box-in-the-box	4
446	nothing-in-the-box-in-the-box	4
447	box-in-the-box-in-the-box	3
448	foolscap fool's cap	1
449	big red clown nose	1
452	disease	1
455	jumbo olive	3
456	dry martini	3
457	ye olde golde frontes	1
459	white pixel	1
460	black pixel	1
461	red pixel	1
462	green pixel	1
463	blue pixel	1
464	red pixel potion	3
465	blue pixel potion	3
466	green pixel potion	3
467	purple pixel pie	1
468	ruby W	1
469	wussiness potion	1
470	Imp Ale	1
471	hot wing	1
472	diamond-studded cane	1
473	flaming crutch	1
474	cast	1
475	leather mask	1
476	hellion cube	1
477	infernal insoles	1
478	evil golden arch	4
487	arrrgyle socks	1
488	guitar pick	1
489	drab sonata	1
490	mesh cap	1
491	enormous belt buckle	1
492	leather chaps	2
493	ketchup hound	1
494	batblade	2
495	catgut	1
496	cat appendix	1
497	gnatwing	1
498	papaya	1
499	denim axe	3
500	Elf Farm Raffle ticket	4
501	Elfin shortbread	1
503	skewered cat appendix	1
504	evil golden arches	4
505	gnatwing earring	1
506	Hell broth	3
507	heavy metal thunderrr guitarrr	4
508	heavy metal sonata	1
510	Boris's key lime	4
511	Jarlsberg's key lime	4
512	Sneaky Pete's key lime	4
513	Boris's key lime pie	4
514	Jarlsberg's key lime pie	4
515	Sneaky Pete's key lime pie	4
517	bejeweled accordion strap	1
519	moxie magnet	1
521	kickback cookbook	1
522	one-winged stab bat	3
523	rewinged stab bat	1
524	papaya sling	1
527	volleyball	1
528	blood-faced volleyball	1
529	fertilized ghuol egg	4
530	spray paint	1
531	special sauce glove	1
532	ladle of mystery	1
533	Gnollish toolbox	1
537	pr0n legs	1
538	f3d0r4	1
539	lowercase N	3
540	Tasty Fun Good rice candy	1
541	draggin' ball hat	1
542	1337 7r0uZ0RZ	1
543	Trollhouse cookies	1
544	flaming talons	1
545	Spam Witch sammich	1
546	meat vortex	1
547	334 scroll	3
548	668 scroll	5
549	30669 scroll	1
550	33398 scroll	1
551	64067 scroll	3
554	pr0n cocktail	1
555	drywall axe	2
556	Pine-Fresh air freshener	1
557	whiskey and cola	1
558	papaya taco	1
559	razor-sharp can lid	1
560	stalk of asparagus	1
561	pregnant mushroom	5
562	ratgut	1
563	sonar-in-a-biscuit	1
564	Mad Train wine	1
565	dirty hobo gloves	1
566	bum cheek	3
568	Double Bacon Beelzeburger	1
569	Lord of the Flies-sized fries	1
570	Brimstone Chicken Sandwich	1
571	Jumbo Dr. Lucifer	5
573	delicious noodles	1
574	delicious spicy noodles	2
575	painful penne pasta	1
576	ravioli della hippy	1
577	pr0n m4nic0tti	2
578	Hell ramen	3
579	boring spaghetti	2
580	sauce of the ages	4
581	fancy schmancy cheese sauce	3
582	Himalayan Hidalgo sauce	3
583	fettucini Inconnu	3
584	spaghetti with Skullheads	4
585	gnocchetti di Nietzsche	3
586	ridiculously huge sword	1
587	super-spiky hair gel	1
588	soft green echo eyedrop antidote	2
589	cocoa eggshell fragment	2
590	large cocoa eggshell fragment	3
591	cocoa egg	4
592	tiny house	1
593	phonics down	1
594	amulet of extreme plot significance	1
595	scroll of drastic healing	2
596	titanium assault umbrella	1
597	Mohawk wig	1
599	pants of the Slug Lord	2
600	Dr. Hobo's scalpel	1
604	Penultimate Fantasy chest	4
610	procrastination potion	1
611	heavy D	1
612	original G	1
613	plot hole	1
614	probability potion	1
615	chaos butterfly	1
616	furry fur	1
617	Angry Farmer candy	1
618	Mick's IcyVapoHotness Rub	1
619	giant needle	1
620	thin black candle	1
621	Warm Subject gift certificate	2
622	awful poetry journal	1
623	WA	4
624	NG	4
627	ND	5
628	metallic A	1
629	glowing red eye	1
630	photoprotoneutron torpedo	1
631	furry pants	2
632	disturbing fanfic	1
633	wolf mask	1
634	cool whip	1
635	little paper umbrella	1
638	asshat	3
639	abominable snowcone	2
640	Ent cider	5
641	toast	2
642	skeleton key	1
643	skeleton key ring	2
646	fruitcake	1
654	star	1
655	line	1
656	star chart	1
657	star sword	3
658	star crossbow	4
659	star staff	3
660	star pants	3
661	star hat	3
662	star buckler	2
663	star throwing star	1
664	star starfish	4
668	spiked femur	1
669	ghuol guolash	2
670	lihc face	1
671	rusty grave robbing shovel	1
672	cranberries	1
673	vodka and cranberry	1
674	whiskey sour	1
679	roll in the hay	1
680	slap and tickle	1
681	slip 'n' slide	1
682	a little sump'm sump'm	1
683	horizontal tango	1
684	pink pony	1
686	enchanted brass knuckles	1
687	blood of the Wereseal	1
688	pixel hat	3
689	pixel pants	4
690	pixel sword	2
693	harem girl t-shirt	1
694	Knob Goblin elite shirt	1
696	frilly shirt	1
697	soggy wofl t-shirt	3
698	loathing eagle baby-doll shirt	5
699	pirate shirt	5
700	filthy hippy poncho	1
703	goth kid t-shirt	1
704	hamethyst	1
705	baconstone	1
706	porquoise	5
708	ring setting	1
711	hamethyst earring	4
712	hamethyst necklace	3
714	hamethyst ring	3
715	baconstone earring	4
716	baconstone pendant	3
718	baconstone ring	3
719	porquoise eyebrow ring	5
720	porquoise necklace	5
722	porquoise ring	5
723	Knoll mushroom	1
724	spooky mushroom	1
739	tambourine bells	1
740	tambourine	2
741	broken skull	1
742	Knoll shroomkabob	1
743	stuffed spooky mushroom	1
744	hair spray	1
747	Knob Goblin firecracker	1
749	warm mushroom	1
750	spicy mushroom quesadilla	1
751	cool mushroom	1
752	cool mushroom casserole	1
753	pointy mushroom	1
754	cream of pointy mushroom soup	1
755	flaming mushroom	1
756	frozen mushroom	1
757	stinky mushroom	1
767	cologne of contempt	3
768	spork	2
770	basic meat fez	4
771	tassel	3
772	foon	1
773	basic meat spork	3
774	basic meat foon	4
776	kneecapping stick	1
786	strawberry	1
787	bottle of rum	1
788	strawberry daiquiri	1
789	rum and cola	1
790	grog	1
793	oil of stability	3
794	oil of slipperiness	3
797	rockin' wagon	1
798	ocean motion	1
799	fuzzbump	1
800	poutine	1
801	Knob stir-fry	1
804	Knoll stir-fry	1
805	spooky stir-fry	1
806	asparagus stir-fry	2
807	olive stir-fry	2
808	Knob sausage stir-fry	1
809	bat wing stir-fry	1
810	rat appendix stir-fry	1
811	tofu stir-fry	1
812	pr0n stir-fry	1
813	Knob stuffed shells	1
814	bätzle	1
815	ratini	1
816	Knob stroganoff	1
817	menudo ravioli	1
819	milky potion	2
820	swirly potion	1
821	bubbly potion	1
822	smoky potion	1
823	cloudy potion	1
824	effervescent potion	1
825	fizzy potion	1
826	dark potion	1
827	murky potion	2
828	baby killer bee	2
829	anti-anti-antidote	1
830	royal jelly	1
831	small box	2
832	large box	2
833	vorpal blade	1
834	cornuthaum	1
835	ring of aggravate monster	1
836	mind flayer corpse	1
841	tomato daiquiri	1
842	beertini	1
843	salty slug	1
844	papaya slung	1
848	hypodermic needle	1
849	Meat detector	1
850	many-eyed glasses	1
851	prosthetic forehead	1
852	tiny shaker of salt	1
853	blundarrrbus	3
854	sucky decal	1
855	tiny balloon knife	2
856	shock collar	1
857	moonglasses	2
858	palm-frond toupee	1
859	tiny knife and fork	3
860	eye-pod	1
861	chocolate spurs	3
862	magnifying glass	3
863	skewer-mounted razor blade	3
864	brass stinger	2
865	lead necklace	1
866	shaving cream	2
867	pine tar	1
869	forest tears	3
871	meatcar model	2
873	rolling pin	1
874	unrolling pin	1
880	disbelief suspenders	1
881	supportive bra	2
882	Blatantly Canadian	1
883	maple syrup	1
884	los chinos	1
885	wooden axe	1
886	leaflet	2
887	leaf	3
889	balaclava	1
890	balaclava baklava	1
893	lumbering jack	1
900	smile-sharpening stone	3
901	miniature espresso maker	2
902	100-Watt bulb	4
905	Yummy Tummy bean	1
906	Rock Pops	1
907	Mr. Mediocrebar	1
910	dwarf bread	1
915	candied yam pinky ring	3
925	dental pliers	4
926	Hawking's Elixir of Brilliance	3
931	spiced rum	1
932	eggnog	1
937	menorette	3
953	penguin-smacking club	4
955	fez of etymology	4
956	carob chunk noodles	1
957	chorizo brownies	1
958	white chocolate and tomato pizza	1
959	flange	3
960	clockwork key	3
962	velvet choker	5
963	tiny plastic seal clubber	3
964	tiny plastic turtle tamer	3
966	tiny plastic sauceror	3
967	tiny plastic disco bandit	3
968	tiny plastic accordion thief	3
969	tiny plastic mosquito	1
970	tiny plastic leprechaun	1
971	tiny plastic levitating potato	1
972	tiny plastic angry goat	1
973	tiny plastic sabre-toothed lime	1
974	tiny plastic fuzzy dice	1
975	tiny plastic spooky pirate skeleton	1
976	tiny plastic barrrnacle	1
977	tiny plastic howling balloon monkey	1
978	tiny plastic stab bat	1
979	tiny plastic grue	1
980	tiny plastic blood-faced volleyball	1
981	tiny plastic ghuol whelp	1
982	tiny plastic baby gravy fairy	1
983	tiny plastic cocoabo	3
984	tiny plastic star starfish	1
985	tiny plastic ghost pickle on a stick	1
986	tiny plastic killer bee	1
987	tiny plastic Cheshire bat	3
988	tiny plastic coffee pixie	1
989	tiny plastic bitchin' meatcar	1
990	tiny plastic hermit	4
995	Lucky Surprise Egg	4
998	maiden wig	1
999	maid head	5
1000	Meat maid	4
1003	soda water	1
1004	bottle of tequila	1
1005	boxed wine	1
1006	cherry	1
1007	coconut shell	1
1008	magical ice cubes	1
1009	vodka martini	1
1010	whiskey and soda	1
1011	monkey wrench	1
1012	tequila sunrise	1
1013	margarita	1
1014	strawberry wine	1
1015	wine spritzer	1
1016	perpendicular hula	1
1017	ducha de oro	1
1018	calle de miel	1
1019	dry vodka martini	3
1020	old-fashioned	1
1021	tequila with training wheels	1
1022	sangria	1
1027	whip kit	1
1028	buckler buckle	1
1029	hippo whip	2
1030	penguin whip	4
1031	yak whip	3
1032	gnauga hide whip	3
1033	gnauga hide	1
1034	hippo skin buckler	3
1035	penguin skin buckler	3
1036	yakskin buckler	2
1037	gnauga hide buckler	5
1038	Connery's Elixir of Audacity	3
1041	green beer	4
1048	red striped oyster egg	4
1049	red polka-dot oyster egg	4
1050	red paisley oyster egg	3
1051	red plastic oyster egg	3
1052	blue striped oyster egg	3
1053	blue polka-dot oyster egg	3
1054	blue paisley oyster egg	4
1055	blue plastic oyster egg	3
1056	puce striped oyster egg	3
1057	puce polka-dot oyster egg	2
1058	puce paisley oyster egg	2
1059	puce plastic oyster egg	2
1060	mauve striped oyster egg	2
1061	mauve polka-dot oyster egg	4
1062	mauve paisley oyster egg	3
1063	mauve plastic oyster egg	2
1064	lavender striped oyster egg	3
1065	lavender polka-dot oyster egg	3
1066	lavender paisley oyster egg	4
1067	lavender plastic oyster egg	2
1068	black striped oyster egg	4
1069	black polka-dot oyster egg	4
1070	black paisley oyster egg	4
1071	black plastic oyster egg	2
1072	off-white striped oyster egg	3
1073	off-white polka-dot oyster egg	3
1074	off-white paisley oyster egg	3
1075	off-white plastic oyster egg	2
1076	yellow striped oyster egg	3
1077	yellow polka-dot oyster egg	3
1078	yellow paisley oyster egg	3
1079	yellow plastic oyster egg	3
1080	oyster basket	1
1082	gazing shoes	5
1084	rainbow tie	5
1085	clockwork widget	4
1086	clockwork thingamajig	4
1087	clockwork doohickey	3
1088	clockwork clockwise dome	4
1089	clockwork spine	4
1090	clockwork rings	4
1091	clockwork claws	4
1092	clockwork sheet	5
1093	clockwork counterclockwise dome	4
1094	clockwork sphere	5
1095	deactivated MicroMechaMech	5
1096	clockwork endoskeleton	5
1097	clockwork hat	5
1099	clockwork pants	5
1100	gnauga hide chaps	4
1101	false eyelashes	3
1102	targeting chip	1
1103	unwound clockwork grapefruit	5
1104	tiny Mountie hat	1
1105	clockwork bartender head	5
1106	clockwork chef head	5
1107	clockwork maid head	5
1108	clockwork detective skull	5
1111	clockwork bartender-in-the-box	5
1112	clockwork chef-in-the-box	5
1113	clockwork maid	5
1114	tisket	2
1115	tasket	1
1116	annoying pitchfork	1
1123	halfberd	1
1124	small leather glove	2
1126	enchanted toothpick	1
1127	tiny ninja sword	1
1128	teeny-tiny ninja stars	2
1129	sequined fez	2
1133	star shirt	4
1135	spooky eyeliner	1
1136	spooky lipstick	1
1137	spooky bicycle chain	1
1138	mushroom fermenting solution	5
1139	flaming mushroom wine	2
1140	icy mushroom wine	2
1141	stinky mushroom wine	2
1142	pointy mushroom wine	2
1143	flat mushroom wine	2
1144	cool mushroom wine	2
1145	knob mushroom wine	2
1146	knoll mushroom wine	2
1147	spooky mushroom wine	2
1148	shot of flower schnapps	1
1149	flower petal pie	1
1151	giant discarded plastic fork	1
1157	wholeberd	2
1158	Meleegra™ pills	1
1159	mariachi G-string	1
1160	irate sombrero	1
1161	pile of candy	2
1162	handsomeness potion	1
1163	marzipan skull	1
1164	poultrygeist	4
1165	hovering sombrero	5
1166	tiny maracas	2
1243	toy six-seater hovercraft	3
1251	Knob shroomkabob	1
1252	spooky shroomkabob	1
1253	pile of jumping beans	1
1254	jumping bean burrito	1
1255	spicy jumping bean burrito	1
1256	insanely spicy jumping bean burrito	1
1257	rat scrapple	1
1261	Hatorade	1
1264	tiny nose-bone fetish	1
1273	magic lamp	1
1275	basic meat skirt	4
1277	basic meat kilt	4
1278	sticky meat skirt	3
1279	sticky meat kilt	4
1280	penguinskin mini-skirt	5
1281	penguinskin mini-kilt	3
1282	yakskin skirt	4
1283	yakskin kilt	2
1284	hippopotamus skirt	4
1285	hippopotamus kilt	4
1286	furry skirt	4
1287	furry kilt	3
1288	gnauga hide skirt	2
1289	gnauga hide kilt	4
1292	skirt / kilt kit	1
1293	ring of adornment	1
1294	ring of increase damage	1
1295	ring of gain strength	1
1296	ring of cold resistance	4
1297	ring of fire resistance	1
1298	ring of conflict	3
1300	monster bait	3
1301	deodorant	3
1302	reodorant	1
1305	tiny makeup kit	4
1309	attention spanner	3
1310	funky brass fez	2
1326	Dyspepsi-Cola helmet	1
1327	Cloaca-Cola shield	1
1328	Cloaca-Cola fatigues	1
1329	Dyspepsi-Cola shield	1
1330	Dyspepsi-Cola fatigues	1
1331	Cloaca-Cola helmet	1
1332	Cloaca-Cola knapsack	3
1333	Dyspepsi-Cola knapsack	1
1334	Cloaca-Cola	1
1335	Dyspepsi grenade	1
1336	Cloaca grenade	1
1338	Dyspepsi-Cola d-rations	4
1339	Cloaca-Cola c-rations	1
1340	Cloaca-Cola-issue combat knife	1
1341	Dyspepsi-Cola-issue canteen	3
1342	picture of a dead guy's girlfriend	2
1344	Gummi-Gnauga	1
1345	Now and Earlier	1
1346	Sugar Cog	1
1350	1.21 jigawatts	5
1351	giant pinky ring	1
1352	redrum	1
1361	disembodied smile	2
1363	clockwork pirate skull	5
1364	rhesus monkey	3
1365	tofurkey leg	2
1366	tofurkey gravy	1
1367	herbal stuffing	2
1368	can-shaped gelatinous cranberry sauce	2
1369	candied yams	1
1370	rhinestone cowboy shirt	1
1371	gingham blouse	2
1372	souvenir ski t-shirt	1
1374	metal mandible	4
1383	length of string	1
1384	googly eye	1
1385	stuffing	2
1386	felt	1
1387	wooden block	1
1388	toy wheel	2
1412	purple snowcone	3
1413	green snowcone	4
1414	orange snowcone	2
1415	red snowcone	4
1416	blue snowcone	3
1417	black snowcone	5
1418	Pretty Predator Clawicure Kit	3
1419	teddy bear sewing kit	2
1429	roll of drink tickets	5
1434	fruit basket	5
1436	hot stuffing	5
1438	twinkly powder	1
1439	hot powder	1
1440	cold powder	1
1441	spooky powder	1
1442	stench powder	1
1443	sleaze powder	1
1444	twinkly nuggets	1
1445	hot nuggets	2
1446	cold nuggets	2
1447	spooky nuggets	2
1448	stench nuggets	2
1449	sleaze nuggets	2
1450	twinkly wad	1
1451	hot wad	3
1452	cold wad	3
1453	spooky wad	3
1454	stench wad	3
1455	sleaze wad	3
1461	squashed frog	1
1462	eye of newt	1
1463	salamander spleen	1
1464	sleazy fairy gravy	3
1465	suede shortsword	1
1466	bamboo bokuto	1
1467	25-meat staff	2
1468	two-handed depthsword	1
1469	bill bec-de-bardiche glaive-guisarme	3
1470	lead yo-yo	2
1471	slightly peevedbow	1
1472	sack of doorknobs	1
1473	lucky ball-and-chain	3
1474	automatic catapult	1
1475	pentacorn hat	1
1476	goofily-plumed helmet	1
1477	yellow plastic hard hat	1
1478	wooden salad bowl	2
1479	football helmet	1
1480	chain-mail monokini	2
1481	union scalemail pants	1
1482	paper-plate-mail pants	2
1483	troutpiece	1
1484	alpha-mail pants	1
1485	lucky rabbit's foot	1
1489	miniature dormouse	4
1490	chopsticks	1
1491	rice bowl	1
1492	ninja mop	1
1493	ridiculously overelaborate ninja weapon	1
1494	sugar-coated pine cone	1
1496	gloomy mushroom wine	4
1497	oily mushroom wine	4
1512	Knob Goblin pet-buffing spray	1
1513	Knob Goblin learning pill	1
1514	Knob Goblin eyedrops	1
1515	Knob Goblin nasal spray	1
1527	diamond-studded fronts	2
1528	portable corkscrew	4
1537	weegee sqouija	2
1547	Codex of Capsaicin Conjuration	1
1548	Gazpacho's Glacial Grimoire	1
1549	MSG	1
1551	bottle of Domesticated Turkey	2
1552	bottle of Definit	2
1553	bottle of Calcutta Emerald	2
1554	bottle of Lieutenant Freeman	2
1555	bottle of Jorge Sinsonte	2
1556	boxed champagne	1
1557	kumquat	1
1558	tangerine	2
1559	tonic water	2
1560	cocktail onion	2
1561	raspberry	1
1562	kiwi	1
1563	whiskey bittersweet	1
1564	mimosette	1
1565	tequila sunset	1
1566	zmobie	1
1567	gin and tonic	1
1568	vodka and tonic	1
1569	vodka gibson	1
1570	gibson	1
1571	parisian cathouse	1
1572	rabbit punch	2
1573	caipifruta	3
1574	teqiwila	1
1575	Divine	1
1576	Gordon Bennett	3
1577	tangarita	2
1578	mandarina colada	1
1579	gimlet	2
1580	yellow brick road	3
1581	vodka stratocaster	3
1582	Neuromancer	3
1583	prussian cathouse	3
1584	Mae West	3
1585	Mon Tiki	3
1586	teqiwila slammer	3
1587	Knob lo mein	3
1588	asparagus lo mein	3
1589	Knoll lo mein	3
1590	spooky lo mein	3
1591	olive lo mein	3
1592	hot hi mein	4
1593	cold hi mein	4
1594	spooky hi mein	4
1595	stinky hi mein	4
1596	sleazy hi mein	4
1607	libation of liveliness	1
1608	eyedrops of the ermine	2
1609	perfume of prejudice	1
1610	eyedrops of the ocelot	2
1611	potent potion of potency	1
1612	concentrated cordial of concentration	1
1613	coffin lid	1
1614	white satin shield	1
1615	Cerebral Cloche	5
1616	Cerebral Culottes	5
1617	Cerebral Crossbow	4
1618	ice stein	3
1619	munchies pill	5
1620	homeopathic healing powder	5
1623	badger badge	1
1624	blue-frosted astral cupcake	4
1625	green-frosted astral cupcake	2
1626	orange-frosted astral cupcake	3
1627	purple-frosted astral cupcake	2
1628	pink-frosted astral cupcake	4
1629	raspberry beret	4
1630	pixel shield	3
1631	beer cartilage	5
1644	hot and sour sauce	4
1645	cold and sour sauce	4
