m	The Market Demon	oyster basket	300
m	The Market Demon	Familiar-Gro&trade; Terrarium	500
m	The Market Demon	Hatorade	500
m	The Market Demon	E-Z Cook Oven&trade;	1000
m	The Market Demon	cocktailcrafting kit	1000

s	The Meatsmith's Shop	meatsmithing guide	50
s	The Meatsmith's Shop	sword hilt	100
s	The Meatsmith's Shop	helmet recipe	100
s	The Meatsmith's Shop	pants kit	100
s	The Meatsmith's Shop	big stick	100
s	The Meatsmith's Shop	crossbow string	100
s	The Meatsmith's Shop	whip kit	100
s	The Meatsmith's Shop	buckler buckle	100
s	The Meatsmith's Shop	skirt / kilt kit	100
s	The Meatsmith's Shop	bigger stick	1000
s	The Meatsmith's Shop	sinewy crossbow string	1000
s	The Meatsmith's Shop	sturdy sword hilt	1000
s	The Meatsmith's Shop	tenderizing hammer	1000

town_giftshop.php	The Gift Shop	Valentine	500
town_giftshop.php	The Gift Shop	potted cactus	50
town_giftshop.php	The Gift Shop	daisy	100
town_giftshop.php	The Gift Shop	potted fern	200
town_giftshop.php	The Gift Shop	tulip	500
town_giftshop.php	The Gift Shop	Venus flytrap	1000
town_giftshop.php	The Gift Shop	all-purpose flower	2000
town_giftshop.php	The Gift Shop	exotic orchid	5000
town_giftshop.php	The Gift Shop	long-stemmed rose	10000
town_giftshop.php	The Gift Shop	gilded lily	20000
town_giftshop.php	The Gift Shop	deadly nightshade	50000
town_giftshop.php	The Gift Shop	black lotus	100000

town_giftshop.php	The Gift Shop	stuffed can of asparagus	50
town_giftshop.php	The Gift Shop	stuffed dodecapede	100
town_giftshop.php	The Gift Shop	stuffed ghuol whelp	200
town_giftshop.php	The Gift Shop	stuffed zmobie	500
town_giftshop.php	The Gift Shop	Raggedy Hippy doll	1000
town_giftshop.php	The Gift Shop	stuffed stab bat	2000
town_giftshop.php	The Gift Shop	apathetic lizardman doll	5000
town_giftshop.php	The Gift Shop	stuffed yeti	10000
town_giftshop.php	The Gift Shop	stuffed Mob Penguin	20000
town_giftshop.php	The Gift Shop	stuffed sabre-toothed lime	50000
town_giftshop.php	The Gift Shop	giant stuffed bugbear	100000

town_giftshop.php	The Gift Shop	mugcake	50
town_giftshop.php	The Gift Shop	urinal cake	100
town_giftshop.php	The Gift Shop	Happy Birthday, Claude! cake	200
town_giftshop.php	The Gift Shop	personalized birthday cake	500
town_giftshop.php	The Gift Shop	three-tiered wedding cake	1000
town_giftshop.php	The Gift Shop	babycakes	2000
town_giftshop.php	The Gift Shop	blue velvet cake	5000
town_giftshop.php	The Gift Shop	congratulatory cake	10000
town_giftshop.php	The Gift Shop	angel-food cake	20000
town_giftshop.php	The Gift Shop	devil's-food cake	50000
town_giftshop.php	The Gift Shop	birthday party jellybean cheesecake	100000

town_giftshop.php	The Gift Shop	white balloon	50
town_giftshop.php	The Gift Shop	green balloon	100
town_giftshop.php	The Gift Shop	heart-shaped balloon	200
town_giftshop.php	The Gift Shop	anniversary balloon	500
town_giftshop.php	The Gift Shop	Mylar balloon	1000
town_giftshop.php	The Gift Shop	Kevlar balloon	2000
town_giftshop.php	The Gift Shop	thought balloon	5000
town_giftshop.php	The Gift Shop	rat head balloon	10000
town_giftshop.php	The Gift Shop	mini-zeppelin	20000
town_giftshop.php	The Gift Shop	Mr. Balloon	50000
town_giftshop.php	The Gift Shop	red balloon	100000

j	Little Canadia Jewelers	piercing post	64
j	Little Canadia Jewelers	necklace chain	70
j	Little Canadia Jewelers	hemp bracelet	150
j	Little Canadia Jewelers	ring setting	200
j	Little Canadia Jewelers	jewelry-making pliers	1000

4	The Degrassi Knoll Bakery	Gnollish pie tin	30
4	The Degrassi Knoll Bakery	wad of dough	50
4	The Degrassi Knoll Bakery	flat dough	70
4	The Degrassi Knoll Bakery	skewer	80
4	The Degrassi Knoll Bakery	taco shell	80
4	The Degrassi Knoll Bakery	Gnollish casserole dish	150

5	The Degrassi Knoll General Store	spring	20
5	The Degrassi Knoll General Store	sprocket	20
5	The Degrassi Knoll General Store	cog	20
5	The Degrassi Knoll General Store	empty meat tank	20
5	The Degrassi Knoll General Store	tires	28
5	The Degrassi Knoll General Store	bugbear beanie	70
5	The Degrassi Knoll General Store	bugbear bungguard	70
5	The Degrassi Knoll General Store	Gnollish plunger	80
5	The Degrassi Knoll General Store	Gnollish flyswatter	80
5	The Degrassi Knoll General Store	frilly skirt	80
5	The Degrassi Knoll General Store	maiden wig	80

g	The Knob Goblin Laboratory	Knob Goblin seltzer	80
g	The Knob Goblin Laboratory	Knob Goblin stink bomb	130
g	The Knob Goblin Laboratory	Knob Goblin nasal spray	150
g	The Knob Goblin Laboratory	Knob Goblin love potion	170
g	The Knob Goblin Laboratory	Knob Goblin eyedrops	200
g	The Knob Goblin Laboratory	Knob Goblin sharpening spray	230
g	The Knob Goblin Laboratory	Knob Goblin steroids	250
g	The Knob Goblin Laboratory	Knob Goblin pet-buffing spray	250
g	The Knob Goblin Laboratory	Knob Goblin learning pill	300

z	The Armory and Leggery	cool whip	30
z	The Armory and Leggery	sweet ninja sword	50
z	The Armory and Leggery	suede shortsword	300
z	The Armory and Leggery	bamboo bokuto	750
z	The Armory and Leggery	25-meat staff	525
z	The Armory and Leggery	two-handed depthsword	900
z	The Armory and Leggery	bill bec-de-bardiche glaive-guisarme	1125

z	The Armory and Leggery	slingshot	150
z	The Armory and Leggery	lead yo-yo	300
z	The Armory and Leggery	slightly peevedbow	450
z	The Armory and Leggery	sack of doorknobs	825
z	The Armory and Leggery	lucky ball-and-chain	950
z	The Armory and Leggery	automatic catapult	1125

z	The Armory and Leggery	snorkel	30
z	The Armory and Leggery	Kentucky-style derby	50
z	The Armory and Leggery	pentacorn hat	300
z	The Armory and Leggery	goofily-plumed helmet	525
z	The Armory and Leggery	yellow plastic hard hat	675
z	The Armory and Leggery	wooden salad bowl	900
z	The Armory and Leggery	football helmet	1125

z	The Armory and Leggery	studded leather boxer shorts	50
z	The Armory and Leggery	chain-mail monokini	250
z	The Armory and Leggery	junk-mail pants	375
z	The Armory and Leggery	paper-plate-mail pants	600
z	The Armory and Leggery	troutpiece	825
z	The Armory and Leggery	alpha-mail pants	1050

w	White Citadel	White Citadel burger	100
w	White Citadel	White Citadel fries	80
w	White Citadel	onion shurikens	80
w	White Citadel	Cherry Cloaca Cola	80
w	White Citadel	Diet Cloaca Cola	80
w	White Citadel	Regular Cloaca Cola	80
