1
# Data provided courtesy of the Garden of Earthly Delights
# The Well-Tempered Epicure: http://www.feesher.com/epicure/export_data.php

# Food	Fullness	Level Req	Adv	Musc	Myst	Moxie

ghost cucumber	2	2	2-6	5-15	5-15	5-15
ghuol egg	1	1	1	-3	0	0
ghuol egg quiche	3	2	3-9	0	0	0
ghuol guolash	3	1	3-6	-11-19	-11-19	-11-19
ghuol-ear kabob	2	1	2-5	0	0	0
gingerborg hive	5	5	10-15	0	0	0
gingerbread bugbear	1	4	1-5	10-20	10-20	10-20
gingerbread horror	1	4	1-5	10-20	10-20	10-20
gingerbread massacre	3	1	3-6	5-6	5-6	5-6
gingerbread mutant bugbear	1	1	1-5	10-20	10-20	10-20
gingerbread stir-fry	5	1	9-17	9-11	9-11	9-11
glass of goat's milk	1	1	1	0	0	0
glistening fish meat	1	1	2-3	0	4-8	0
glistening nigiri	2	1	4-8	0	8-16	0
gnat lasagna	3	10	11-18	45-54	0	0
gnatloaf	2	8	3-9	25-50	0	0
gnatloaf casserole	3	9	8-15	23-37	0	0
gnocchetti di nietzsche	6	6	21-29	0	47-52	0
goat cheese	2	1	2-3	0	0	0
goat cheese pizza	3	2	3-10	0	0	15-18
goat cheese taco	2	1	2-5	0	11-33	0
gr8ps	1	1	1-2	0	0	0
grapefruit	1	1	1	0	0	0
grapes	1	1	1	0	0	0
grimdrop chow mein	4	5	6-9	0	0	0
grimgerbread house	5	5	10-15	0	0	0
grue egg omelette	4	9	21-27	35-45	35-45	35-45
gumdrop chow mein	3	1	3-7	5-7	5-7	5-7
handful of nuts and berries	1	12	3-5	0	50-60	0
handful of walnuts	1	10	2-4	0	0	20-30
happy birthday, claude! cake	3	1	3	0	0	0
hell broth	4	3	7-15	-5-9	0	-5-9
hell ramen	6	6	22-29	23-28	23-28	23-28
herb brownies	2	1	2-5	0	0	8-9
herbal stuffing	4	7	15-21	0	0	70-75
hippy herbal tea	1	1	1-4	0	4-7	0
honey-dew	2	2	4-7	13-15	0	0
hot buttered roll	1	1	1	0	0	0
hot date	2	7	4-5	0	0	20-30
hot hi mein	5	7	21-29	71-75	15-20	30-35
hot wing	1	1	1-2	0	2-5	0
insanely spicy bean burrito	3	4	7-14	27-32	0	0
insanely spicy enchanted bean burrito	3	5	8-15	0	28-32	0
insanely spicy jumping bean burrito	3	4	7-14	0	0	33
irradiated candy cane	1	1	1-5	10-20	10-20	10-20
it came from beyond dessert	4	1	6-12	7-8	7-8	7-8
jarlsberg's key lime pie	4	6	13-19	0	28-33	0
jumbo dr. lucifer	1	1	1-3	0	0	0
jumbo olive	1	2	1-3	0	0	2-5
jumping bean burrito	3	1	3-8	0	0	11-14
jumping bean taco	1	1	1-3	0	0	4-20
juniper berries	1	2	1	0	0	10-15
ketchup	1	1	1	0	0	0
kiwi	1	2	1-3	0	0	0
knob ka-bobs	1	10	2-4	0	20-30	0
knob lo mein	4	6	14-20	0	31-34	0
knob mushroom	2	1	2-3	0	0	0
knob pasty	1	1	6-7	5-6	5-6	5-6
knob sausage	2	1	2-3	0	0	0
knob sausage chow mein	5	7	21-29	72-76	0	0
knob sausage stir-fry	3	4	7-14	25-28	0	0
knob shroomkabob	2	1	2-5	0	6-11	0
knob stir-fry	2	3	2-10	0	12-18	0
knoll lo mein	4	6	14-21	30-34	0	0
knoll mushroom	2	1	1-3	0	0	0
knoll shroomkabob	2	1	2-5	6-11	0	0
knoll stir-fry	2	3	2-10	14-18	0	0
kumquat	1	2	1-3	0	0	0
large cocoa eggshell fragment	1	1	1-2	0	0	0
laser-broiled pear	1	1	3-4	8-10	8-10	8-10
lemon	1	1	1	0	0	0
lemon meringue pie	3	2	3-9	8-10	0	0
lihc eye pie	4	2	5-12	0	11-12	0
<i>limbos</i> gingerbread	3	5	6-15	22-40	22-40	22-40
lime	1	2	1-3	0	0	0
long pork casserole	3	9	8-15	0	37-51	0
long pork chop sandwiches	2	8	3-9	0	25-35	0
long pork lasagna	3	10	11-18	0	46-55	0
lord of the flies-sized fries	3	1	4-6	0	15-20	-15-20
lucky surprise egg	1	1	1	0	0	0
manetwich	2	4	3-9	14-30	0	5-18
maple syrup	1	1	1-2	0	0	0
menudo	2	2	2-7	14-18	0	0
mind flayer corpse	5	1	5-6	0	21-25	0
mixed wildflower greens	1	10	2-4	25-30	0	0
mole mol&eacute;	3	4	7-8	10-14	10-14	10-14
mugcake	1	1	1	0	0	0
mushroom pizza	3	2	3-10	0	15-18	0
nanite-infested candy cane	1	4	1-5	11-20	11-20	11-20
nanite-infested fruitcake	3	1	3-6	15-20	15-20	15-20
nanite-infested gingerbread bugbear	1	4	1-5	21-40	21-40	21-40
nutty organic salad	3	11	12-15	0	31-40	0
olive	1	1	1	0	0	0
olive lo mein	3	6	9-16	10-14	0	10-14
olive stir-fry	1	3	1-5	3-5	0	2-4
orange	1	1	1	0	0	0
packet of tofurkey gravy	2	1	2-8	31-34	0	0
painful penne pasta	3	3	5-12	17-20	0	0
papaya	1	1	1-2	0	0	0
papaya taco	1	1	1-3	8-12	0	8-12
peach	1	4	3	0	0	15-20
peach pie	3	7	8-14	0	0	25-45
pear	1	4	3	0	15-20	0
pear tart	3	7	8-14	0	25-45	0
peche a la frog	3	1	3-4	0	0	0
personalized birthday cake	3	1	3	0	0	0
piece of wedding cake	2	1	2-5	0	0	0
plain pizza	2	1	2-4	0	0	0
plum	1	4	3	15-20	0	0
pointy mushroom	2	1	2-3	0	0	12-14
poutine	2	1	2-3	2-3	2-3	2-3
pr0n chow mein	4	7	16-23	20-26	0	20-26
pr0n cocktail	2	1	4-7	8-11	8-12	8-12
pr0n m4nic0tti	4	3	8-14	0	0	28-30
pr0n stir-fry	2	4	3-11	7-12	0	8-12
pr0n taco	2	1	2-5	0	0	11-33
purple pixel pie	3	1	3-6	12-18	12-18	12-18
questionable taco	3	1	4-5	0	0	0
radio button candy	1	8	2-9	30-50	33-49	30-50
raspberry	1	2	1-3	0	0	0
rat appendix chow mein	5	7	21-29	0	0	70-75
rat appendix kabob	2	1	2-5	0	0	6-9
rat appendix stir-fry	3	4	7-14	0	0	27-45
rat scrapple	2	2	2-7	0	0	10-12
ravioli della hippy	3	3	4-12	0	19-23	0
retenez l'herbe pat&eacute;	3	9	13-20	40-50	40-50	40-50
roasted marshmallow	1	1	1	0	0	0
royal jelly	1	1	1	10-15	0	0
royal jelly taco	1	1	1-3	4-20	0	0
s.t.l.t.	4	4	10-15	10-30	10-30	13-27
sandwich of the gods	5	12	32-38	50-89	63-95	63-83
sausage pizza	3	2	3-10	15-18	0	0
sausage wonton	3	12	12-18	50-80	20-30	20-30
savoy truffle	2	9	6-7	15-20	15-20	15-20
sea avocado	1	2	2-3	0	0	27
sea carrot	1	2	2-3	0	26	0
sea cucumber	1	2	2-3	29	0	0
sea honeydew	1	2	2-3	0	28	0
sea lychee	1	2	2-3	0	0	37
sea tangelo	1	2	2-3	16	0	0
shoots and leaves	4	1	6-10	7-8	7-8	7-8
single-serving herbal stuffing	4	1	12-16	0	0	32-35
# sizzling weasel on a stick	5	1	60-80	0	0	220-400
skewered cat appendix	2	1	2-5	7-17	0	0
skull-shaped crimboween cookie	2	7	6-12	0	0	0
sleazy hi mein	5	7	21-29	25-28	25-29	71-75
slick fish meat	1	1	2-3	0	0	4-8
slick nigiri	2	1	4-8	0	0	8-16
sneaky pete's key lime pie	4	6	13-19	0	0	28-33
soylent red and green	3	5	4-5	0	0	0
spaghetti with skullheads	6	6	21-29	47-52	0	0
spam witch sammich	2	1	2-3	0	4-6	0
spectral pickle	4	8	20-26	25-34	25-34	25-34
spicy bean burrito	3	3	5-12	20-24	0	0
spicy enchanted bean burrito	3	4	6-12	0	22-28	0
spicy jumping bean burrito	3	3	5-12	0	0	22-28
spicy mushroom quesadilla	3	1	3-8	35-40	0	0
spicy noodles	3	4	6-12	0	0	0
spooky hi mein	5	7	21-29	15-20	71-75	30-35
spooky lo mein	4	6	14-22	0	0	33-34
spooky mushroom	2	1	2-3	0	0	0
spooky shroomkabob	2	1	2-5	0	0	6-11
spooky stir-fry	2	3	2-10	0	0	14-18
spooky surprise egg	1	1	1	0	0	0
stale baguette	3	1	3-6	0	0	0
stalk of asparagus	1	1	1-2	0	1-3	0
star key lime pie	4	6	13-19	20-24	20-24	20-24
steel lasagna	5	5	00	0	0	0
stinky hi mein	5	7	21-29	30-35	71-75	15-20
stinky mushroom	3	2	3-9	0	0	3-5
strawberry	1	1	1	0	0	0
strawberry pie	3	2	3-9	0	0	8-10
stuffed spooky mushroom	3	1	3-9	0	0	0
stunt nuts	2	1	2-3	8-10	0	0
# suddenly salad!	5	1	60-80	0	220-400	0
super ka-bob	3	11	12-15	30-38	0	0
super salad	3	11	13-16	30-50	32-40	31-40
t8r tots	1	1	1-2	0	0	0
tangerine	1	2	1-3	0	0	0
tasty tart	1	1	5-6	5-6	5-6	5-6
three-tiered wedding cake	35	1	34-39	0	0	0
tin cup of mulligan stew	2	15	14-20	351-624	553-759	511-577
tin rations	3	1	8-10	3-5	3-5	3-5
toast	1	1	1	0	0	0
toast with jam	1	3	0	0	0	0
tofu casserole	3	1	3-8	0	0	0
tofu chow mein	3	7	11-19	18-22	20-25	0
tofu stir-fry	1	4	1-6	4-5	4-6	0
tofu taco	1	1	1-3	0	4-20	0
tofu wonton	3	12	11-18	20-30	50-80	20-30
tofurkey gravy	2	5	3-10	72-75	0	0
tofurkey leg	3	5	7-14	70-74	0	0
tofurkey nugget	3	1	4-11	30-33	0	0
tomato	1	1	1	0	0	0
tombstone-shaped crimboween cookie	2	7	6-11	0	0	0
tree-shaped crimbo cookie	2	7	6-11	0	0	0
trollhouse cookies	2	1	2-3	4-6	0	0
tube of cranberry go-goo	3	1	8-14	0	0	31-34
twigs and gravel	3	1	3-6	5-6	5-6	5-6
uncooked chorizo	1	1	1-2	-5	0	0
unfortunate dumplings	3	1	1	0	0	0
unidentified jerky	2	9	4-8	10-15	10-15	10-15
urinal cake	2	1	2	0	0	0
valentine's day cake	3	1	3	0	0	0
vampire cake	5	1	9-16	9-10	9-10	9-10
vanilla-frosted king cake	3	1	3	0	0	0
vinegar-soaked lemon slice	1	2	1-3	15-20	15-20	15-20
warm mushroom	2	1	2-3	12-14	0	0
wedge of gray cheese	1	9	7-13	50-61	50-61	50-61
wet stew	6	1	12-15	16-19	0	0
white chocolate and tomato pizza	3	2	3-9	0	0	0
white chocolate chip cookies	2	1	2-5	0	11-13	0
white chocolate chips	1	1	1-2	0	0	0
white citadel burger	2	1	2-8	0	0	0
white citadel fries	2	1	2-5	0	0	0
white rice	1	1	1-2	1-2	1-2	1-2
wreath-shaped crimbo cookie	2	7	6-11	0	0	0
yam candy	3	1	5-10	0	31-34	0
