4
# effect id	name	image	descid	quality	attributes	default action
54	Jalape&ntilde;o Saucesphere	pepsphere.gif	432fc725db5720e9237438147bc6516e	good	none	cast 1 Jalape&ntilde;o Saucesphere
55	Jaba&ntilde;ero Saucesphere	pepsphere2.gif	bf3c7c4fa0642b582ad55a36f1105b82	good	none	cast 1 Jaba&ntilde;ero Saucesphere
56	Extreme Muscle Relaxation	strnoboost.gif	621865253dfe04259868b41e367a62e8	neutral	none	use 1 Mick's IcyVapoHotness Rub
57	Rainy Soul Miasma	raincloud.gif	a47ef21c02a4b8ba3b1da929f4566934	neutral	none	use 1 thin black candle
58	Teleportitis	confused.gif	cb5404472a27b435aa6fad1ba528b1b8	neutral	nopvp	use 1 potion of teleportitis
59	Wanged	wang.gif	0f35dcc9f22cd0ee2e6ef690c3512a01	neutral	none	# wang used on you
60	Aloysius' Antiphon of Aptitude	antiphon.gif	3f875f7c9c4cc7b64f4c7d7b7eea1ef6	good	song	cast 1 Aloysius' Antiphon of Aptitude|cargo effect Aloysius' Antiphon of Aptitude
61	The Moxious Madrigal	madrigal.gif	c77eb3298c1bcba5e0147eba77a5a802	good	song	cast 1 The Moxious Madrigal
62	Cletus's Canticle of Celerity	celerity.gif	fe25963fb651fc5d81ed5a098b509030	good	song	cast 1 Cletus's Canticle of Celerity
63	Polka of Plenty	plenty.gif	c26a911b8ec2c57f7eef57f9ff5fdc24	good	song	cast 1 The Polka of Plenty|cargo effect Polka of Plenty
64	The Magical Mojomuscular Melody	mojomusc.gif	80224f21d262123e7e370d440ce36937	good	song	cast 1 The Magical Mojomuscular Melody
65	Power Ballad of the Arrowsmith	arrowsmith.gif	695f24467176d2e76738e7c5e1148a42	good	song	cast 1 The Power Ballad of the Arrowsmith|cargo effect Power Ballad of the Arrowsmith
66	Brawnee's Anthem of Absorption	brawnees.gif	bcbbb5a02c92d158e45fd9c736950380	good	song	cast 1 Brawnee's Anthem of Absorption|cargo effect Brawnee's Anthem of Absorption
67	Fat Leon's Phat Loot Lyric	fatleons.gif	63e73adb3ecfb0cbf544db435eeeaf00	good	song	cast 1 Fat Leon's Phat Loot Lyric|cargo effect Fat Leon's Phat Loot Lyric
68	Psalm of Pointiness	psalm.gif	5abc19b33b53e0cb7749472a07311c6a	good	song	cast 1 The Psalm of Pointiness
69	Jackasses' Symphony of Destruction	jackasses.gif	fca62260f2f750e32f104f868ed1a3a5	good	song	cast 1 Jackasses' Symphony of Destruction
70	Stevedave's Shanty of Superiority	superiority.gif	2e5a803cf1be5b3d2aaa897e60f29138	good	song	cast 1 Stevedave's Shanty of Superiority|cargo effect Stevedave's Shanty of Superiority
71	Ode to Booze	odetobooze.gif	626c8ef76cfc003c6ac2e65e9af5fd7a	good	song	cast 1 The Ode to Booze|cargo effect Ode to Booze
72	Sleeping with the Fishes	sleepy.gif	5285075ac41f4e239008e57f0b11e193	neutral	none	# wearing cement shoes
73	Ticking Clock	clock.gif	6e54ea1584f2410c94c93032c5a038f0	good	none	use 1 cheap wind-up clock
74	Fresh Scent	happy.gif	a12c86c626c44ecd48540d1e55bf1204	neutral	none	use either 1 chunk of rock salt, 1 deodorant|cargo effect Fresh Scent
75	Hippy Stench	stench.gif	70ff46e1347de854172cb7a644f2854e	neutral	none	use either 1 handful of pine needles, 1 reodorant|cargo effect Hippy Stench
76	Wreathed in Merriment	scook1.gif	074e5435520828037e01f4059da13cf7	good	none	eat 1 wreath-shaped Crimbo cookie
77	Fury of the Bells	scook2.gif	8166c389286809c05b40933c210194cf	good	none	eat 1 bell-shaped Crimbo cookie
78	Yuletide Sappiness	scook3.gif	b4a14c949225b6e8427fbad113c8d777	good	none	eat 1 tree-shaped Crimbo cookie
79
80	Missing Fingers	sad.gif	c6100ac99a847dc3b60d9f8c1a2c223d	bad	none	use 1 Knob Goblin firecracker|cargo effect Missing Fingers
81	Gnawed-Off Arm	sad.gif	99337ac6df628a7b13162ef7a725f01d	bad	none	# St. Sneaky Pete's Day Stupor
82	Broken Knees	sad.gif	c377ac25ce57bab5069f08744b111930	bad	none
83	And Your Family, Too	sad.gif	4f336a7c8fb1b5b3355180116e822627	bad	none
84
85	Chokeheld	hand.gif	1eb73f3b31da1cb7844f580aa12c6761	bad	none	# Fighting monster with Luchador Mask
86	Missing Eyebrows	sad.gif	71c7813ec6c1d4f79b9a4a44a6654181	bad	none
87	Two Left Feet	twoleft.gif	bdc371492a7b729af57b724c82c6ce09	bad	none
88	Bat-Intimidated	bat.gif	036a199bfec316c515e8fb6b4ae63775	bad	none	# Fighting monster with Batmask
89	Tingly Wrists	feather.gif	5a7834b36760978ce7766b95753fa4f2	good	none	# using phonics down - 1/3 chance
90	Tingly Elbows	feather.gif	54aa2c7ffc56b273ae9a6bfe26f10aad	good	none	# using phonics down - 1/3 chance
91	Tingly Biceps	feather.gif	fbf879a2f5e27198361d24f57cfd1130	good	none	# using phonics down - 1/3 chance
92	Sticky Hands	glove.gif	652fac966f18c8d0051cc3af5ad42740	good	none	use 1 pine tar|cargo effect Sticky Hands
93	Clean-Shaven	shaven.gif	58e37fc744c725866f00b6e96da534a8	good	none	use 1 shaving cream
94	Aspect of the GravyPlum Fairy	gravy.gif	4b79673d34d9748b440cb33977667cbd	good	none	# Sweet Nutcracker buff
95	Rushin' Hands	glove.gif	0b68ba6ca2791b564710697b7f02d2bd	good	none	# Sweet Nutcracker buff
96	Reedy Pipes	reedpipes.gif	f4e6e0c3a947fbee42763af3bc8fc0ec	good	none	# Sweet Nutcracker buff
97	Oriental Mysticism	fumanchu.gif	178439b5d20a975ff913fa8510b78891	good	none	# Sweet Nutcracker buff
98	Arabian Knighthood	scimitar.gif	037d391acc55edb9d5ec9bfca00097d2	good	none	# Sweet Nutcracker buff
99
100	Stabilizing Oiliness	potion4.gif	8a69297f136daef36aea0330f986bc78	good	nohookah	use 1 oil of stability
101	Slippery Oiliness	potion4.gif	1598c6d326da799034f65bc9da00c288	good	nohookah	use 1 oil of slipperiness
102	Strength of Ten Ettins	strboost.gif	24e328972b5792ebdde69889edf2edc9	good	none	use 1 potion of ettin strength
103	Strange Mental Acuity	realbrain.gif	d7d4abd1987ec257ebf1b386a9060052	good	none	use 1 potion of mental acuity
104	Izchak's Blessing	light.gif	2b0bab3aa6c3cabbe27d693dc4a2c8c0	good	none	use 1 potion of blessing
105	Corroded Weapon	corroded.gif	8af5fd34414f0f52907fabfa3287fa2b	bad	none	# fighting acid blob in Dungeons of Doom
106	Canadianity	mapleleaf.gif	8a3629f6e6d964a3e491b3a393348a46	neutral	none	drink 1 white Canadian
107	Enraged	angry.gif	8a81256346b6ec6aa9b91b0e2641681c	good	none	# clan buff, Yummy Tummy bean
108	Ancestral Disapproval	skull.gif	66df2793b0008e892884c0de9f33c808	good	none	cargo effect Ancestral Disapproval|# clan buff
109	Whitened Teeth	goldfronts.gif	0f3c00c6477cf3c3ca13602bfee2d863	good	none	cargo effect Whitened Teeth|# clan buff
110	Hopped Up on Goofballs	hoppedup.gif	061ca4225eeb3189b93a4a6c5e47351e	good	none	use 1 bottle of goofballs
111	Goofball Withdrawal	withdraw.gif	29b44ff4d574d3698bb85eb97c4d37bc	bad	noremove	# if Hopped Up on Goofballs ran out the day before
112	Antsy in your Pantsy	syrup.gif	ea9571b76d8c4d7df9ba47e27058bcf2	good	none	use 1 sugar-coated pine cone|eat 1 maple syrup
113	Popping Stomach	rockpops.gif	ab4ca3339e28ef091322625f1b62c71b	neutral	none	use 1 Rock Pops
114	Dwarven Hardiness	minerhat.gif	99f5e9eb51172bcac524605eace88feb	good	none	eat 1 dwarf bread
115	Apathy	apathy.gif	4ecdbe1ae06dfa3e3caa02cbf3676ffe	bad	none	use 1 Mr. Mediocrebar
116	Radio Head	radhat.gif	93a84005b9089f8b39237450c0af0ff3	good	nohookah	# wearing Radio Free Baseball Cap
117	Free Bird	radpants.gif	587b577f3cf49f2d944450aa4751584d	good	nohookah	# wearing Radio Free Pants
118	Shiny Happy Weapon	radsword.gif	c182e3297f3732ed05601d63d5980f1d	good	nohookah	# wielding Radio Free Foil
119	On the Shoulders of Giants	farout.gif	68ea640257b2b74627e74ce275a555fc	good	none	use 1 Hawking's Elixir of Brilliance
120	Shot in the Arse	shotarse.gif	d65d1192f0638f8f72e2f18b99c33a91	good	none	# shot by Kucolan's arse-shooting crossbow
121	Cock of the Walk	cockghost.gif	4bd0338c8030f6aaa95ea5eda777484c	good	none	use 1 Connery's Elixir of Audacity
122	Eggs-tra Sensory Perception	eggplain.gif	5ca8ae9f3177d3f1bfee8ceccde554b7	good	none	chew either 1 off-white paisley oyster egg, 1 off-white polka-dot oyster egg, 1 off-white striped oyster egg
123	Egg-stortionary Tactics	eggplain.gif	3cef8a2a9750292400d4380caacda408	good	none	chew either 1 black paisley oyster egg, 1 black polka-dot oyster egg, 1 black striped oyster egg
124	Egg-stra Arm	eggplain.gif	f571d1555a2465e9e8fb0fb3b31b18e5	good	none	chew 1 yellow striped oyster egg
125	Egg-headedness	eggplain.gif	e6b783e02fa92072ca81c7585912ba37	good	none	chew 1 yellow paisley oyster egg
126	Egg-cellent Vocabulary	eggplain.gif	f7347c1d229420acff2226dac4125a0a	good	none	chew 1 yellow polka-dot oyster egg
127	Gothy	gothy.gif	06cb86ddd689278c5af31423a8210a72	neutral	none	use either 1 spooky eyeliner, 1 spooky lipstick|drink 1 gloomy mushroom wine
128	Flower Power	flower.gif	e91ceabee446030ff33cc79d06a8d551	good	none	drink 1 shot of flower schnapps
129	Eye of the Lihc	eyeball.gif	19a38797f559f112930b8d33f3dd48e3	good	none	eat 1 lihc eye pie
130	Springy Fusilli	fusilli.gif	bb44871dd165d4dc9b4d35daa46908ef	good	none	cast 1 Springy Fusilli
131	Rage of the Reindeer	reindeer.gif	5c8d3b5b4a6d403f95f27f5d29528c59	good	none	cast 1 Rage of the Reindeer
132	Engorged Weapon	nicesword.gif	1ff58ec4d8337eaec65044933bf7ab34	good	none	use 1 Meleegra&trade; pills
133	Mysteriously Handsome	shadesface.gif	dfcd77bff25d3dd413644f5decfbf4e8	neutral	none	use 1 handsomeness potion
134	Tamarind Torment	chicle.gif	e407923afccaaed539c8a4038caac922	neutral	none	use 1 tamarind-flavored chewing gum
135	Spicy Limeness	chicle.gif	c5bcb9561c847d10fd5b6e74ba99ed8c	neutral	none	use 1 lime-and-chile-flavored chewing gum|cargo effect Spicy Limeness
136	Mystic Pickleness	chicle.gif	c48f3970d1829eb3fc950c2d0f1b4a9b	neutral	none	use 1 pickle-flavored chewing gum|cargo effect Mystic Pickleness
137	Spicy Mouth	chicle.gif	66aa65422caa01f4ed8ebb6fdd3b2293	neutral	none	use 1 jaba&ntilde;ero-flavored chewing gum|cargo effect Spicy Mouth
138	Hombre Muerto Caminando	candyskull.gif	63c3d6ed003472fbf82f8ffb03f39c20	good	none	use 1 marzipan skull
139	Purple Tongue	tongue.gif	454d465127f34454808d75bdbd388f29	good	nohookah	use 1 purple snowcone
140	Green Tongue	tongue.gif	94e112e9d9e9899f283bbd1ddde77396	good	nohookah	use 1 green snowcone
141	Orange Tongue	tongue.gif	61c56f6a7d09a562062c41239da75670	good	nohookah	use 1 orange snowcone
142	Red Tongue	tongue.gif	a4a570ed8e0e103525775af34f31f030	good	nohookah	use 1 red snowcone
143	Blue Tongue	tongue.gif	ec5873195c3e3b217cc8124e1ac211cf	good	nohookah	use 1 blue snowcone
144	Black Tongue	tongue.gif	cf48440dfd1ae655ab1d2c447e0091e2	good	nohookah	use 1 black snowcone
145	Object Detection	exclam.gif	d8857a40fb6a9b575a9c8d4449db9d39	good	none	use 1 potion of detection
146
147
148
149
150	Twinklebritches	uberpants.gif	db5d031554e0f69e1b5944c381082691	good	none	use 1 twinkly powder|cargo effect Twinklebritches
151	Flame-Retardant Trousers	cords.gif	953ebb5fcf3e23283531ff99376ab89c	good	none	use 1 hot powder
152	Insulated Trousers	chinos.gif	3b0d4cfc8148fe08e27cd1b8da9fb4d3	good	none	use 1 cold powder
153	Spookypants	demonpants.gif	83e4984577a731e8e6bb9d635092b051	good	none	use 1 spooky powder
154	Smelly Pants	fatigues2.gif	34d33b93e87226a6a03dbaa09af69292	good	none	use 1 stench powder
155	Sleaze-Resistant Trousers	yakpants.gif	ed2942d1ca5f87dd6f87f90507dd0f75	good	none	use 1 sleaze powder
156	Twinkly Weapon	csword.gif	05616ca967054eee4f9d2fd34727c315	good	none	use 1 twinkly nuggets
157	Flaming Weapon	flame.gif	f1421b135e777cd1a778c596fef500b7	good	none	use 1 hot nuggets
158	Frigid Weapon	snowflake.gif	80131d07257f059a699368cf30fc670d	good	none	use 1 cold nuggets
159	Spooky Weapon	batblade.gif	d774d576335ec8cc8c061e6891ff41c5	good	none	use 1 spooky nuggets
160	Stinky Weapon	stench.gif	c927edbace02490d4c66ee8271c64e2e	good	none	use 1 stench nuggets
161	Sleazy Weapon	dripsword.gif	fe75c03d60169594193a0733c513a853	good	none	use 1 sleaze nuggets
162	The Sonata of Sneakiness	sonata.gif	b757f23feb7f08bd250f63586e03cf4a	neutral	song	cast 1 The Sonata of Sneakiness|cargo effect The Sonata of Sneakiness
163	Carlweather's Cantata of Confrontation	cantata.gif	06e123f9b46d3d180c97efc5ab0ad150	neutral	song	cast 1 Carlweather's Cantata of Confrontation|cargo effect Carlweather's Cantata of Confrontation
164	Ur-Kel's Aria of Annoyance	urkels.gif	59a1ac48440e1ea1f869f2b37753f9cc	neutral	song	cast 1 Ur-Kel's Aria of Annoyance|cargo effect Ur-Kel's Aria of Annoyance
165	Smooth Movements	footprints.gif	173a9c4b4bbef78643fe4ec1a93b1cfc	neutral	none	cast 1 Smooth Movement
166	Musk of the Moose	stench.gif	5e788aac76c7451c42ce19d2acf6de18	neutral	none	cast 1 Musk of the Moose
167	Spirit of Cayenne	flame.gif	050dd88888b1ac9a2192cd71fd175a45	good	nohookah	cast 1 Spirit of Cayenne
168	Spirit of Peppermint	snowflake.gif	518f53443c261c2b61ea11fe8716a715	good	nohookah	cast 1 Spirit of Peppermint
169	Spirit of Garlic	stench.gif	83888384e62aa31604f5619a1adb1169	good	nohookah	cast 1 Spirit of Garlic
170	Spirit of Wormwood	skull.gif	4d36ad259b82421689a27b2b843a7e3b	good	nohookah	cast 1 Spirit of Wormwood
171	Spirit of Bacon Grease	bacon.gif	6938d4564e4225d47983a1a834a09604	good	nohookah	cast 1 Spirit of Bacon Grease
172	Yellow Tongue	tongue.gif	3dbc5202908b9b8e507d7f062360b293	neutral	none	use 1 yellow snowcone
173	Big Veiny Brain	realbrain.gif	55b5adcb51868b248c9808720b1884f8	neutral	none	chew 1 Knob Goblin learning pill
174	Peeled Eyeballs	bseye.gif	76a38896d00f40442e3741d7e94bb5df	neutral	none	chew 1 Knob Goblin eyedrops
175	Wasabi Sinuses	pupils.gif	c9cd2df50d6fb5a9d8d7544892c7e5b2	neutral	none	chew 1 Knob Goblin nasal spray
176	Heavy Petting	happy.gif	0bbb62f04a5dd69a88b608fe656a7752	neutral	none	chew 1 Knob Goblin pet-buffing spray
177
178	Bootyliciousness	chest.gif	4dd00fb300f035693ca9ac4f6e33c4f4	good	none	# clan buff
179	Make Meat FA$T!	meat.gif	2b0a872a72b015c6db5c4974140f0483	good	none	# clan buff
180	Temporary Blindness	hernia.gif	1b3d98f1187a8572fc12cf6fd02f35c3	bad	nohookah	drink 1 white lightning
181	Jazz Hands	jazzsoap.gif	d847d0fc434d9f9b69d6c029b7b91582	neutral	none	use 1 jazz soap|cargo effect Jazz Hands
182
183	Half-Astral	hoppedup.gif	51e5c65bc1771744da18fc0cd3a2fe92	neutral	none	use 1 astral mushroom
184	Cupcake of Choice	cupcake.gif	606df8164432029da3468eee90911ca3	good	nohookah	use 1 blue-frosted astral cupcake
185	Shiny Happy Cupcake	cupcake.gif	b39f26406457a1cb49de24b309086b84	good	nohookah	use 1 orange-frosted astral cupcake
186	Tiny Bubbles in the Cupcake	cupcake.gif	2fd48447d0a555ccbddacb61a37d1961	good	nohookah	use 1 purple-frosted astral cupcake
187	Your Cupcake Senses Are Tingling	cupcake.gif	09e15a3419f7729ab6d732654c9a01a2	good	nohookah	use 1 pink-frosted astral cupcake
188	The Cupcake of Wrath	cupcake.gif	baccc1c6b61bad39426ae19a104c926d	neutral	nohookah	use 1 green-frosted astral cupcake
189	Hotform	flame.gif	087638005205a407f827277524f22ebb	good	nohookah	use 1 phial of hotness
190	Coldform	snowflake.gif	a3c8719b97cd5b55d8004e16f83995e8	good	nohookah	use 1 phial of coldness
191	Spookyform	skull.gif	9574facc09b31e3b425537360569658f	good	nohookah	use 1 phial of spookiness
192	Stenchform	stench.gif	9a6852a35cf5a2336a0c4cc3112416a0	good	nohookah	use 1 phial of stench
193	Sleazeform	wink.gif	801f28e129c806afbe88215103960c4b	good	nohookah	use 1 phial of sleaziness
194	Hot Breath	breath.gif	7ecbd57bcb86d63be06bb6d4b8e7229f	neutral	none	chew 1 hot wad
195	Cold Breath	breath.gif	d29d87fa48e08fa8a341183db3121e1c	neutral	none	chew 1 cold wad
196	Spooky Breath	breath.gif	da5e91136fd36708b61f6d383376ff78	neutral	none	chew 1 spooky wad
197	Stinky Breath	breath.gif	8be4aecc48d39b0b8b7a0fd671bd4330	neutral	none	chew 1 stench wad
198	Sleazy Breath	breath.gif	572a0d269f2609e685ae3f56327a2998	neutral	none	chew 1 sleaze wad
199	Aspect of the Twinklefairy	scwad.gif	f27e3dcf9fd6b46b30347743c18ccb1b	good	none	chew 1 twinkly wad
200	Hot Blooded	scwad.gif	c3dce41845c995ec4c2bd986cbc28364	good	none	chew 1 hot wad
201	Cold Blooded	scwad.gif	3d9befb3ebd8553b81c3792efb85a85a	good	none	chew 1 cold wad
202	Spooky Demeanor	scwad.gif	89099ac4df5c9d8171b4930a79feaeae	good	none	chew 1 spooky wad
203	Stenchtastic	scwad.gif	798bb9ee21a7f86fea8ed2a1c8fc9be1	good	none	chew 1 stench wad
204	Supafly	scwad.gif	9251834d917d63e231fac176d8842811	good	none	chew 1 sleaze wad
205	Provocative Perkiness	hoppedup.gif	a5416e0b53cb9482aaa8294b3ebf58b5	good	none	use either 1 libation of liveliness, 1 evil libation of liveliness
206	Ermine Eyes	bigeyes.gif	00fb00c69272d752ee0bab0e83ea729f	good	none	use either 1 eyedrops of the ermine, 1 evil eyedrops of the ermine
207	Eau D'enmity	stench.gif	e81a1fd67fb48499d12619574610759f	neutral	none	use 1 perfume of prejudice
208	Ocelot Eyes	bigeyes.gif	c857c096f180a92bbd6b378c363f8b63	good	none	use 1 eyedrops of the ocelot|cargo effect Ocelot Eyes
209	Ponderous Potency	strboost.gif	7f39a1d79d44181871af122ba6c8c851	good	none	use 1 potent potion of potency
210	Concentrated Concentration	farout.gif	4815faee551d03188624535356609c76	good	none	use 1 concentrated cordial of concentration
211	Got Milk	milk.gif	225aa10e75476b0ad5fa576c89df3901	good	none	# obsolete
212	Papowerful	papaya.gif	62f614c0cd7832fcaf864d74bea81c01	good	none	use 1 papotion of papower
213	Frog In Your Throat	squashfrog.gif	52cf0120a2ecbc702da6ef92e588d242	good	none	use 1 frogade
214	Salamander In Your Stomach	stomach.gif	1c2325ff89b6a58b386e5563da098e46	good	none	use 1 salamander slurry
215	Newt Gets In Your Eyes	eyes.gif	46a5628ca44d03f0f26bdf3467f1c0c2	good	none	use 1 eyedrops of newt
216	Blessed by the RNG	fence.gif	e449f82b68903398fc800a02cf2aa318	neutral	none	# cast on you by The RNG
217	Cursed by The RNG	tinycow.gif	619bf55052f4270389dd24d68a029246	neutral	none	# cast on you by The RNG
218	Amorous	lips.gif	e8430f88372ba98df5e361f0b091fe65	good	none	use 1 shingle
219	Bubble, Bubble	sphere.gif	6ede1a75e47f82c98a429c9a50d067b4	neutral	none	use 1 alphabet gum
220	Sticky Fingers	glove.gif	4becdf2ac82c2bf30dd433dd54465918	good	none	use 1 bag of Cheat-Os|cargo effect Sticky Fingers
221	Chalky Hand	glove.gif	3e2eed0d70d0e023a11619655a3f48c0	good	none	use 1 handful of hand chalk
222	Snarl of the Timberwolf	wolfmask.gif	2968e9397d3aa977b8cb3e9817ad8cdd	good	nohookah	cast 1 Snarl of the Timberwolf
223	Dreams and Lights	snowflakes.gif	360467118bd69ef869a1af2002117e63	good	none	# adv in Haunted Gallery
224	Scarysauce	skullshld.gif	f7551a889b9c61510fc3f73f96ecc98e	good	none	cast 1 Scarysauce
225	Dirge of Dreadfulness	dirge.gif	6121ba486d7ad86165d117ea62794d09	good	song	cast 1 Dirge of Dreadfulness
226	Talking Like a Pirate	piratehead.gif	defbfe64c65b2d495dc0133506223c1f	neutral	none	use 1 can of Binarrrca
227	The 'Tussin	bseye.gif	295f414c903d22c44ec2f92f789cad71	neutral	none	use 1 bottle of Vangoghbitussin
228	Pie in the Face	pieface.gif	9c9794f2ff9a0fcb1090c281c2c442f1	neutral	none	# being hit with cream pie
229	Hip to Be Square Dancin'	dance2.gif	37f9f99df81ca3d29abe85139a302f67	good	none	# clan radio
230	Livin' Large	goldfronts.gif	5c5335bc77cdd6fe54de544d277089b7	good	none	# clan radio
231	Wistfully Nostalgic	happy.gif	48e2cebc9f34ef44ac6026fdf7cdb76f	good	none	# clan radio
232	Happy Salamander	commacha.gif	05b9aad038c530dd3d2c5b3ab146a4b8	good	none	# clan radio
