1
# id	year	type	class	row	name

10141	2022	hard	SA	ROW1304	flagstone fez
10142	2022	hard	DB	ROW1305	flagstone fleece
10143	2022	hard	AT	ROW1306	flagstone fringe
11028	2023	norm	SC	ROW1296	chiffon chevrons
11029	2023	norm	TT	ROW1295	chiffon chapeau
11030	2023	norm	PA	ROW1442	chiffon chamberpot
11031	2023	norm	SA	ROW1443	chiffon chemise
11032	2023	norm	DB	ROW1444	chiffon chakram
11033	2023	norm	AT	ROW1445	chiffon chaps
11020	2023	hard	SC	ROW1448	ceramic cestus
11021	2023	hard	TT	ROW1449	ceramic centurion shield
11022	2023	hard	PA	ROW1450	ceramic celery grater
11023	2023	hard	SA	ROW1451	ceramic celsiturometer
11024	2023	hard	DB	ROW1452	ceramic cerecloth belt
11025	2023	hard	AT	ROW1453	ceramic cenobite's robe
11504	2024	norm	SC	UNKNOWN	moss mace
11505	2024	norm	TT	UNKNOWN	moss megaphone
11506	2024	norm	PA	UNKNOWN	moss medal
11507	2024	norm	SA	UNKNOWN	moss mitre
11508	2024	norm	DB	UNKNOWN	moss mantle
11509	2024	norm	AT	UNKNOWN	moss marlinspike
11512	2024	hard	SC	UNKNOWN	adobe arsecover
11513	2024	hard	TT	UNKNOWN	adobe adze
11514	2024	hard	PA	UNKNOWN	adobe abacus
11515	2024	hard	SA	UNKNOWN	adobe ayam
11516	2024	hard	DB	UNKNOWN	adobe ascot
11517	2024	hard	AT	UNKNOWN	adobe abaya
11520	2025	norm	SC	UNKNOWN	crepe paper phrygian cap
11521	2025	norm	TT	UNKNOWN	crepe paper parachute cape
11522	2025	norm	PA	UNKNOWN	crepe paper pie clip
11523	2025	norm	SA	UNKNOWN	crepe paper puzzle cube
11524	2025	norm	DB	UNKNOWN	crepe paper plunge camisole
11525	2025	norm	AT	UNKNOWN	crepe paper polka charm
11528	2025	hard	SC	UNKNOWN	petrified wood war pike
11529	2025	hard	TT	UNKNOWN	petrified wood waist protector
11530	2025	hard	PA	UNKNOWN	petrified wood wizard's pouch
11531	2025	hard	SA	UNKNOWN	petrified wood water purifier
11532	2025	hard	DB	UNKNOWN	petrified wood whoopie panama
11533	2025	hard	AT	UNKNOWN	petrified wood walking pants

