1
# Data provided courtesy of the Garden of Earthly Delights
# The Well-Tempered Mixologist
# http://www.feesher.com/mixology/index.php


# Drink	Drunk	Level Req	Adv	Musc	Myst	Moxie

bottle of whiskey	3	1	3	0	0	0
boxed champagne	3	2	4-8	0	0	0
boxed wine	3	1	3	0	0	0
braincracker sweet	5	1	10-15	9-11	9-11	9-11
bungle in the jungle	4	7	13-17	40-99	54-118	31-122
caipifruta	3	3	5-10	16-20	0	0
calle de miel	4	4	10-14	8-10	0	25-27
can of Swiller	1	10	2-4	10-15	0	0
candycaine	4	1	7-10	8-9	8-9	8-9
cherry bomb	6	6	22-26	0	16-20	0
cool mushroom wine	3	6	10-14	0	8-10	0
corpse on the beach	6	5	20	0	72	0
corpsebite	3	1	8	10	10	10
corpsedriver	6	5	20	72	0	0
corpsetini	6	5	22	0	0	72
cream stout	1	3	2-4	8-10	8-10	8-10
cruelty-free wine	1	10	2-4	0	10-15	0
cup of primitive beer	1	12	2-5	50-65	0	0
cursed bottle of black-label rum	3	3	5-9	0	0	0
cursed bottle of rum	1	1	1	0	0	0
dirty martini	6	6	22-26	0	0	16-20
distilled fortified wine	1	1	5-6	5-6	5-6	5-6
dry martini	3	3	5-10	0	0	8-10
dry vodka martini	3	3	5-10	0	0	8-10
ducha de oro	4	4	10-14	8-10	25-27	0
dusty bottle of Marsala	2	1	0	0	0	0
dusty bottle of Merlot	2	1	0	0	0	0
dusty bottle of Muscat	2	1	0	0	0	0
dusty bottle of Pinot Noir	2	1	0	0	0	0
dusty bottle of Port	2	1	0	0	0	0
dusty bottle of Zinfandel	2	1	0	0	0	0
ecto-nog	3	1	3-6	5-6	5-6	5-6
eggnog	3	3	5-10	0	17-30	18-30
eggnogtini	3	1	3-5	5-7	5-7	5-7
especially salty dog	4	4	9-15	32-50	32-50	32-50
extra-spicy bloody mary	3	3	5-10	5-11	5-11	5-11
fermented honey	3	1	3-6	5-6	5-6	5-6
fine wine	1	1	1-3	0	0	3-5
flaming mushroom wine	3	6	10-14	12-15	0	0
flask of Amontillado	4	4	10-15	10-30	15-30	10-30
flat mushroom wine	3	6	10-14	8-10	0	0
flute of flat champagne	2	2	3-6	0	15	0
fuzzbump	4	4	10-14	34-36	0	0
gibson	3	3	5-10	0	0	16-20
gimlet	4	6	14-18	0	40-47	0
gin	5	1	10-15	9-10	9-10	9-10
gin and tonic	3	3	5-10	0	16-20	0
gloomy mushroom wine	3	7	13-17	12-15	13-15	12-15
green beer	1	1	1-3	0	0	0
grog	3	3	5-10	8-10	0	0
grogtini	6	6	22-26	16-20	0	0
horizontal tango	4	4	10-14	0	34-36	0
hot choculate	5	1	10-15	9-10	9-10	9-10
hot toady	4	1	6-10	7-8	7-8	7-8
ice-cold Sir Schlitz	1	1	1	0	0	0
ice-cold Willer	1	1	1	0	0	0
ice-cold fotie	3	1	3	0	0	0
icy mushroom wine	3	6	10-14	0	12-15	0
jar of fermented pickle juice	5	13	31-33	82-83	94-100	85-98
jar of squeeze	7	8	26-30	28-45	28-45	25-45
kamicorpse-ee	3	1	10	0	0	31
knob mushroom wine	3	6	10-13	0	4-6	0
knoll mushroom wine	3	6	10-13	4-6	0	0
lumbering jack	3	1	3-8	0	11-14	0
mandarina colada	4	6	14-18	0	16-20	25-27
margarita	3	1	3-6	8-10	0	0
martini	3	1	3-7	0	0	8-10
melted Jell-o shot	1	10	2-4	0-40	0-40	0-40
mimosette	3	3	5-10	16-20	0	0
monkey wrench	3	1	3-6	0	8-10	0
moons-shine	4	1	6-10	7-8	7-8	7-8
ocean motion	4	4	10-14	25-27	8-10	0
oily mushroom wine	3	7	12-17	14-15	12-15	12-15
old-fashioned	3	3	5-10	0	8-10	0
papaya sling	3	1	3-7	16-30	0	0
papaya slung	3	2	4-8	11-15	11-15	11-15
parisian cathouse	3	3	5-10	0	0	16-20
perpendicular hula	4	4	10-14	0	0	34-36
pink pony	4	4	10-14	25-27	0	8-10
plum wine	2	8	4-8	14-20	0	0
pointy mushroom wine	3	6	10-14	0	0	8-10
prussian cathouse	4	6	14-18	0	0	40-47
purple corpsel	3	1	6-10	39-34	0	0
rabbit punch	3	3	5-10	0	0	16-20
red-headed corpse	3	1	7	0	35	0
redrum	3	1	3-6	0	15-30	0
rockin' wagon	4	4	10-14	0	0	34-36
roll in the hay	4	4	10-14	0	34-36	0
rum and cola	3	1	3-6	0	0	10-12
salty dog	3	1	3-8	0	8-10	0
salty slug	3	2	4-10	0	10-12	10-12
sangria	3	3	5-10	0	8-10	0
sangria del diablo	6	6	22-26	0	16-20	0
screwdriver	3	1	3-6	8-10	0	0
shot of blackberry schnapps	1	3	1-4	5-7	5-7	5-7
shot of flower schnapps	1	1	1-3	0	0	0
shot of grapefruit schnapps	1	1	1-3	0	3-5	0
shot of nepenthe schnapps	2	2	5-8	0	12-18	0
shot of orange schnapps	1	1	1-3	3-5	0	0
shot of peach schnapps	2	8	4-8	0	0	14-20
shot of pear schnapps	2	8	4-8	0	14-20	0
shot of rotgut	1	1	2-3	10-12	10-12	10-12
shot of tomato schnapps	1	1	1-3	1-2	1-2	1-2
slap and tickle	4	4	10-14	0	8-10	25-27
slip 'n' slide	4	4	10-14	34-36	0	0
snifter of thoroughly aged brandy	2	1	2-6	0	8-10	0
spiced rum	3	2	4-9	0	0	17-30
spooky eggnog	3	3	5-10	0	16-30	16-30
spooky mushroom wine	3	6	10-14	0	0	4-6
steel margarita	5	5	0	0	0	0
stinky mushroom wine	3	6	10-14	0	0	12-15
strawberry daiquiri	3	1	3-6	0	0	8-10
strawberry wine	3	1	3-6	0	0	8-10
tangarita	4	6	14-18	0	16-20	25-27
teqiwila	3	3	5-10	16-20	0	0
teqiwila slammer	4	6	14-18	40-47	0	0
tequila sunrise	3	1	3-6	8-10	0	0
tequila sunset	3	3	5-10	0	16-20	0
tequila with training wheels	3	3	5-10	8-9	0	0
thermos full of Knob coffee	1	1	6-7	5-6	5-6	5-6
thistle wine	1	10	2-4	0	0	30-60
tomato daiquiri	3	2	4-8	10-12	0	10-12
nanite-infested eggnog	3	3	5-10	0	17-30	18-30
vesper	6	6	22-26	0	0	16-20
vodka and cranberry	3	1	3-6	0	15-20	0
vodka and tonic	3	3	5-10	0	16-20	0
vodka gibson	3	3	5-10	0	0	16-20
vodka martini	3	1	3-6	0	0	8-10
vodka stratocaster	4	6	14-18	25-27	0	16-20
whiskey and cola	3	1	3-6	0	4-6	4-6
whiskey and soda	3	1	3-6	0	8-10	0
whiskey bittersweet	3	3	5-10	16-20	0	0
whiskey sour	3	1	3-6	8-10	0	0
white Canadian	3	1	3-6	10-12	0	0
white Xanadian	2	2	5-8	12-18	0	0
white lightning	3	3	5-10	0	0	0
wine spritzer	3	1	3-6	0	8-10	0
yellow brick road	4	6	14-18	0	40-47	0
zmobie	3	3	5-10	0	16-20	0
